.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Correct?,Category,Match?,Interference correct?,Total correct in block,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,114,1,None,Timed out,,,,,,,,M,20
0,1,1,405,1,['n'],Y,['k'],N,Y,,,,,M,20
0,2,2,58,1,['y'],Y,['d'],N,N,,,,,M,20
0,3,3,4,1,['n'],N,['d'],Y,N,,,,,M,20
0,4,4,294,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,5,5,256,1,['n'],N,['d'],N,Y,,,,,M,20
0,6,6,29,1,['n'],Y,['d'],N,Y,,,,,M,20
0,7,7,529,1,['n'],N,['k'],N,Y,,,,,M,20
0,8,8,248,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,9,9,450,1,['n'],Y,['k'],Y,N,,,,,M,20
0,10,10,182,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,11,11,71,1,['y'],N,['d'],Y,Y,,,,,M,20
0,12,12,209,1,['n'],Y,['d'],N,Y,,,,,M,20
0,13,13,345,1,['n'],Y,['k'],N,Y,,,,,M,20
0,14,14,581,1,['n'],N,['k'],N,Y,,,,,M,20
0,15,15,221,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,16,16,277,1,['n'],Y,['d'],N,Y,,,,,M,20
0,17,17,564,1,['n'],Y,['k'],N,Y,,,,,M,20
0,18,18,168,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,19,19,98,1,['n'],N,['d'],N,Y,,,,,M,20
0,20,20,492,1,['n'],N,['k'],N,Y,,,,,M,20
0,21,21,78,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,22,22,228,1,['n'],Y,['d'],N,Y,,,,,M,20
0,23,23,285,1,['y'],N,['d'],Y,Y,,,,,M,20
0,24,24,263,1,['n'],Y,['d'],N,Y,,,,,M,20
0,25,25,556,1,['y'],Y,['k'],Y,Y,,,,,M,20
0,26,26,404,1,['n'],N,['k'],N,Y,,,,,M,20
0,27,27,501,1,['n'],N,['k'],N,Y,,,,,M,20
0,28,28,20,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,29,29,92,1,['y'],N,['d'],Y,Y,,,,,M,20
0,30,30,433,1,['n'],N,['k'],N,Y,,,,,M,20
0,31,31,136,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,32,32,579,1,['y'],Y,['k'],Y,Y,,,,,M,20
0,33,33,441,1,['y'],Y,['k'],Y,Y,,,,,M,20
0,34,34,173,1,['n'],Y,['d'],N,Y,,,,,M,20
0,35,35,588,1,['n'],Y,['k'],N,Y,,,,,M,20
0,36,36,423,1,['y'],Y,['k'],Y,Y,,,,,M,20
0,37,37,396,1,['y'],N,['k'],Y,Y,,,,,M,20
0,38,38,178,1,['n'],N,['d'],Y,N,,,,,M,20
0,39,39,288,1,['y'],N,['d'],Y,Y,,,,,M,20
0,40,40,225,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,41,41,252,1,['n'],Y,['d'],N,Y,,,,,M,20
0,42,42,407,1,['y'],Y,['k'],Y,Y,,,,,M,20
0,43,43,124,1,['n'],N,['d'],N,Y,,,,,M,20
0,44,44,289,1,['n'],Y,['d'],Y,N,,,,,M,20
0,45,45,461,1,['y'],N,['k'],N,N,,,,,M,20
0,46,46,290,1,['y'],Y,['d'],Y,Y,,,,,M,20
0,47,47,572,1,['y'],Y,['k'],N,N,,,,,M,20
0,48,48,316,1,['y'],Y,['k'],Y,Y,,,,,M,20
0,49,49,117,1,['y'],Y,['d'],Y,Y,32,,,,M,20
0,50,50,369,2,['y'],N,['k'],Y,Y,,,,,M,20
0,51,51,183,2,['n'],Y,['d'],N,Y,,,,,M,20
0,52,52,57,2,['n'],Y,['d'],N,Y,,,,,M,20
0,53,53,400,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,54,54,359,2,['n'],Y,['k'],N,Y,,,,,M,20
0,55,55,573,2,['y'],N,['k'],Y,Y,,,,,M,20
0,56,56,496,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,57,57,566,2,['n'],Y,['k'],Y,N,,,,,M,20
0,58,58,264,2,['n'],Y,['d'],Y,N,,,,,M,20
0,59,59,528,2,['n'],Y,['k'],N,Y,,,,,M,20
0,60,60,411,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,61,61,530,2,['n'],N,['k'],N,Y,,,,,M,20
0,62,62,333,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,63,63,291,2,['n'],Y,['d'],N,Y,,,,,M,20
0,64,64,188,2,['n'],Y,['d'],N,Y,,,,,M,20
0,65,65,550,2,['n'],Y,['k'],N,Y,,,,,M,20
0,66,66,153,2,['y'],Y,['d'],Y,Y,,,,,M,20
0,67,67,409,2,['n'],Y,['k'],N,Y,,,,,M,20
0,68,68,350,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,69,69,531,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,70,70,551,2,['y'],Y,['k'],N,N,,,,,M,20
0,71,71,226,2,['n'],Y,['d'],N,Y,,,,,M,20
0,72,72,424,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,73,73,553,2,['n'],Y,['k'],N,Y,,,,,M,20
0,74,74,402,2,['n'],Y,['k'],N,Y,,,,,M,20
0,75,75,212,2,['n'],Y,['d'],N,Y,,,,,M,20
0,76,76,349,2,['y'],N,['k'],Y,Y,,,,,M,20
0,77,77,135,2,['n'],Y,['d'],Y,N,,,,,M,20
0,78,78,412,2,['n'],Y,['k'],N,Y,,,,,M,20
0,79,79,101,2,['y'],Y,['d'],Y,Y,,,,,M,20
0,80,80,237,2,['y'],Y,['d'],Y,Y,,,,,M,20
0,81,81,457,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,82,82,576,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,83,83,372,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,84,84,547,2,['n'],Y,['k'],N,Y,,,,,M,20
0,85,85,271,2,['n'],Y,['d'],N,Y,,,,,M,20
0,86,86,514,2,['n'],Y,['k'],N,Y,,,,,M,20
0,87,87,0,2,['y'],Y,['d'],Y,Y,,,,,M,20
0,88,88,305,2,['n'],Y,['k'],N,Y,,,,,M,20
0,89,89,232,2,['n'],Y,['d'],N,Y,,,,,M,20
0,90,90,134,2,['y'],Y,['d'],Y,Y,,,,,M,20
0,91,91,431,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,92,92,63,2,['n'],Y,['d'],Y,N,,,,,M,20
0,93,93,30,2,['y'],Y,['d'],Y,Y,,,,,M,20
0,94,94,494,2,['n'],Y,['k'],N,Y,,,,,M,20
0,95,95,425,2,['n'],Y,['k'],N,Y,,,,,M,20
0,96,96,385,2,['y'],Y,['k'],Y,Y,,,,,M,20
0,97,97,238,2,['n'],Y,['d'],N,Y,,,,,M,20
0,98,98,481,2,['n'],Y,['k'],N,Y,,,,,M,20
0,99,99,104,2,['y'],Y,['d'],Y,Y,46,,,,M,20
0,100,100,166,3,['n'],Y,['d'],N,Y,,,,,M,20
0,101,101,24,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,102,102,270,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,103,103,282,3,['n'],Y,['d'],Y,N,,,,,M,20
0,104,104,35,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,105,105,592,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,106,106,328,3,['y'],N,['k'],Y,Y,,,,,M,20
0,107,107,269,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,108,108,535,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,109,109,227,3,['n'],Y,['d'],N,Y,,,,,M,20
0,110,110,239,3,['n'],Y,['d'],N,Y,,,,,M,20
0,111,111,246,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,112,112,377,3,['n'],Y,['k'],N,Y,,,,,M,20
0,113,113,343,3,['n'],Y,['k'],N,Y,,,,,M,20
0,114,114,534,3,['n'],Y,['k'],N,Y,,,,,M,20
0,115,115,590,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,116,116,363,3,['n'],Y,['k'],N,Y,,,,,M,20
0,117,117,66,3,['n'],Y,['d'],N,Y,,,,,M,20
0,118,118,276,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,119,119,560,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,120,120,38,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,121,121,42,3,['n'],N,['d'],N,Y,,,,,M,20
0,122,122,198,3,['n'],N,['d'],N,Y,,,,,M,20
0,123,123,398,3,['n'],Y,['k'],N,Y,,,,,M,20
0,124,124,540,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,125,125,467,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,126,126,504,3,['n'],Y,['k'],N,Y,,,,,M,20
0,127,127,108,3,['n'],Y,['d'],N,Y,,,,,M,20
0,128,128,376,3,['n'],Y,['k'],N,Y,,,,,M,20
0,129,129,499,3,['n'],Y,['k'],N,Y,,,,,M,20
0,130,130,14,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,131,131,414,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,132,132,147,3,['n'],Y,['d'],N,Y,,,,,M,20
0,133,133,391,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,134,134,387,3,['n'],Y,['k'],N,Y,,,,,M,20
0,135,135,140,3,['n'],Y,['d'],N,Y,,,,,M,20
0,136,136,516,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,137,137,339,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,138,138,589,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,139,139,148,3,['n'],Y,['d'],N,Y,,,,,M,20
0,140,140,159,3,['n'],Y,['d'],N,Y,,,,,M,20
0,141,141,420,3,['n'],Y,['k'],N,Y,,,,,M,20
0,142,142,298,3,['n'],Y,['d'],N,Y,,,,,M,20
0,143,143,554,3,['n'],Y,['k'],N,Y,,,,,M,20
0,144,144,518,3,['y'],Y,['k'],Y,Y,,,,,M,20
0,145,145,23,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,146,146,69,3,['y'],Y,['d'],Y,Y,,,,,M,20
0,147,147,513,3,['n'],Y,['k'],N,Y,,,,,M,20
0,148,148,410,3,['n'],Y,['k'],N,Y,,,,,M,20
0,149,149,125,3,['n'],Y,['d'],Y,N,47,,,,M,20
0,150,150,373,4,['y'],Y,['k'],Y,Y,,,,,M,20
0,151,151,371,4,['n'],Y,['k'],N,Y,,,,,M,20
0,152,152,281,4,['y'],Y,['d'],Y,Y,,,,,M,20
