.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Total correct,Percent correct,Button switch shown?,Fast?,gender,age,
0,0,0,241,1,['k'],['d'],N,,,,,male,21,
0,1,1,534,1,['k'],['k'],Y,,,,,male,21,
0,2,2,267,1,['k'],['d'],N,,,,,male,21,
0,3,3,56,1,['d'],['d'],Y,,,,,male,21,
0,4,4,14,1,['k'],['d'],N,,,,,male,21,
0,5,5,140,1,['d'],['d'],Y,,,,,male,21,
0,6,6,496,1,['d'],['k'],N,,,,,male,21,
0,7,7,282,1,['k'],['d'],N,,,,,male,21,
0,8,8,503,1,['k'],['k'],Y,,,,,male,21,
0,9,9,412,1,['k'],['k'],Y,,,,,male,21,
0,10,10,242,1,['d'],['d'],Y,,,,,male,21,
0,11,11,343,1,['k'],['k'],Y,,,,,male,21,
0,12,12,101,1,['k'],['d'],N,,,,,male,21,
0,13,13,173,1,['k'],['d'],N,,,,,male,21,
0,14,14,302,1,['d'],['k'],N,,,,,male,21,
0,15,15,405,1,['k'],['k'],Y,,,,,male,21,
0,16,16,49,1,['d'],['d'],Y,,,,,male,21,
0,17,17,57,1,['d'],['d'],Y,,,,,male,21,
0,18,18,338,1,['k'],['k'],Y,,,,,male,21,
0,19,19,280,1,['d'],['d'],Y,,,,,male,21,
0,20,20,311,1,['k'],['k'],Y,,,,,male,21,
0,21,21,8,1,['d'],['d'],Y,,,,,male,21,
0,22,22,378,1,['k'],['k'],Y,,,,,male,21,
0,23,23,19,1,['d'],['d'],Y,,,,,male,21,
0,24,24,307,1,['k'],['k'],Y,,,,,male,21,
0,25,25,424,1,['k'],['k'],Y,,,,,male,21,
0,26,26,518,1,['k'],['k'],Y,,,,,male,21,
0,27,27,441,1,['d'],['k'],N,,,,,male,21,
0,28,28,514,1,['d'],['k'],N,,,,,male,21,
0,29,29,17,1,['d'],['d'],Y,,,,,male,21,
0,30,30,386,1,['k'],['k'],Y,,,,,male,21,
0,31,31,432,1,['k'],['k'],Y,,,,,male,21,
0,32,32,417,1,['k'],['k'],Y,,,,,male,21,
0,33,33,388,1,['k'],['k'],Y,,,,,male,21,
0,34,34,349,1,['k'],['k'],Y,,,,,male,21,
0,35,35,207,1,['d'],['d'],Y,,,,,male,21,
0,36,36,376,1,['k'],['k'],Y,,,,,male,21,
0,37,37,523,1,['k'],['k'],Y,,,,,male,21,
0,38,38,116,1,['k'],['d'],N,,,,,male,21,
0,39,39,528,1,['k'],['k'],Y,,,,,male,21,
0,40,40,452,1,['k'],['k'],Y,,,,,male,21,
0,41,41,220,1,['d'],['d'],Y,,,,,male,21,
0,42,42,2,1,['k'],['d'],N,,,,,male,21,
0,43,43,437,1,['k'],['k'],Y,,,,,male,21,
0,44,44,31,1,['k'],['d'],N,,,,,male,21,
0,45,45,155,1,['d'],['d'],Y,,,,,male,21,
