.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Fast?,gender,age
0,0,0,531,1,['k'],['k'],Y,,,female,21
0,1,1,231,1,['k'],['d'],N,,,female,21
0,2,2,390,1,['k'],['k'],Y,,,female,21
0,3,3,142,1,['d'],['d'],Y,,,female,21
0,4,4,93,1,['d'],['d'],Y,,,female,21
0,5,5,199,1,['k'],['d'],N,,,female,21
0,6,6,222,1,['k'],['d'],N,,,female,21
0,7,7,181,1,['d'],['d'],Y,,,female,21
0,8,8,18,1,['d'],['d'],Y,,,female,21
0,9,9,572,1,['d'],['k'],N,,,female,21
0,10,10,84,1,['d'],['d'],Y,,,female,21
0,11,11,262,1,['d'],['d'],Y,,,female,21
0,12,12,29,1,['k'],['d'],N,,,female,21
0,13,13,172,1,['d'],['d'],Y,,,female,21
0,14,14,424,1,['d'],['k'],N,,,female,21
0,15,15,530,1,['d'],['k'],N,,,female,21
0,16,16,573,1,['d'],['k'],N,,,female,21
0,17,17,516,1,['k'],['k'],Y,,,female,21
0,18,18,191,1,['k'],['d'],N,,,female,21
0,19,19,152,1,['k'],['d'],N,,,female,21
0,20,20,402,1,['k'],['k'],Y,,,female,21
0,21,21,328,1,['k'],['k'],Y,,,female,21
0,22,22,45,1,['d'],['d'],Y,,,female,21
0,23,23,128,1,['d'],['d'],Y,,,female,21
0,24,24,564,1,['d'],['k'],N,,,female,21
0,25,25,216,1,['d'],['d'],Y,,,female,21
0,26,26,143,1,['k'],['d'],N,,,female,21
0,27,27,86,1,['d'],['d'],Y,,,female,21
0,28,28,317,1,['k'],['k'],Y,,,female,21
0,29,29,589,1,['k'],['k'],Y,,,female,21
0,30,30,395,1,['k'],['k'],Y,,,female,21
0,31,31,182,1,['d'],['d'],Y,,,female,21
0,32,32,62,1,['d'],['d'],Y,,,female,21
0,33,33,356,1,['k'],['k'],Y,,,female,21
0,34,34,394,1,['k'],['k'],Y,,,female,21
0,35,35,517,1,['k'],['k'],Y,,,female,21
0,36,36,405,1,['k'],['k'],Y,,,female,21
0,37,37,169,1,['d'],['d'],Y,,,female,21
0,38,38,484,1,['k'],['k'],Y,,,female,21
0,39,39,456,1,['k'],['k'],Y,,,female,21
0,40,40,417,1,['k'],['k'],Y,,,female,21
0,41,41,559,1,['k'],['k'],Y,,,female,21
0,42,42,296,1,['d'],['d'],Y,,,female,21
0,43,43,259,1,['d'],['d'],Y,,,female,21
0,44,44,209,1,['d'],['d'],Y,,,female,21
0,45,45,537,1,['k'],['k'],Y,,,female,21
0,46,46,281,1,['d'],['d'],Y,,,female,21
0,47,47,159,1,['d'],['d'],Y,,,female,21
0,48,48,461,1,['k'],['k'],Y,,,female,21
0,49,49,342,1,['k'],['k'],Y,,,female,21
,,,,,,,"38 correct, 12 wrong",,,,
0,50,50,65,2,['k'],['d'],N,,,female,21
0,51,51,166,2,['d'],['d'],Y,,,female,21
0,52,52,386,2,['d'],['k'],N,,,female,21
0,53,53,72,2,['d'],['d'],Y,,,female,21
0,54,54,138,2,['d'],['d'],Y,,,female,21
0,55,55,202,2,['d'],['d'],Y,,,female,21
0,56,56,174,2,['d'],['d'],Y,,,female,21
0,57,57,412,2,['k'],['k'],Y,,,female,21
0,58,58,455,2,['k'],['k'],Y,,,female,21
0,59,59,170,2,['d'],['d'],Y,,,female,21
0,60,60,377,2,['k'],['k'],Y,,,female,21
0,61,61,219,2,['d'],['d'],Y,,,female,21
0,62,62,532,2,['k'],['k'],Y,,,female,21
0,63,63,357,2,['k'],['k'],Y,,,female,21
0,64,64,350,2,['k'],['k'],Y,,,female,21
0,65,65,47,2,['d'],['d'],Y,,,female,21
0,66,66,391,2,['k'],['k'],Y,,,female,21
0,67,67,100,2,['d'],['d'],Y,,,female,21
0,68,68,518,2,['k'],['k'],Y,,,female,21
0,69,69,120,2,['d'],['d'],Y,,,female,21
0,70,70,550,2,['k'],['k'],Y,,,female,21
0,71,71,505,2,['k'],['k'],Y,,,female,21
0,72,72,457,2,['k'],['k'],Y,,,female,21
0,73,73,418,2,['k'],['k'],Y,,,female,21
0,74,74,90,2,['d'],['d'],Y,,,female,21
0,75,75,454,2,['k'],['k'],Y,,,female,21
0,76,76,88,2,['d'],['d'],Y,,,female,21
0,77,77,245,2,['d'],['d'],Y,,,female,21
0,78,78,208,2,['d'],['d'],Y,,,female,21
0,79,79,567,2,['k'],['k'],Y,,,female,21
0,80,80,595,2,['k'],['k'],Y,,,female,21
0,81,81,413,2,['k'],['k'],Y,,,female,21
0,82,82,420,2,['k'],['k'],Y,,,female,21
0,83,83,190,2,['d'],['d'],Y,,,female,21
0,84,84,398,2,['k'],['k'],Y,,,female,21
0,85,85,560,2,['k'],['k'],Y,,,female,21
0,86,86,261,2,['d'],['d'],Y,,,female,21
0,87,87,295,2,['d'],['d'],Y,,,female,21
0,88,88,175,2,['d'],['d'],Y,,,female,21
0,89,89,462,2,['k'],['k'],Y,,,female,21
0,90,90,116,2,['d'],['d'],Y,,,female,21
0,91,91,585,2,['k'],['k'],Y,,,female,21
0,92,92,59,2,['d'],['d'],Y,,,female,21
0,93,93,597,2,['k'],['k'],Y,,,female,21
0,94,94,423,2,['k'],['k'],Y,,,female,21
0,95,95,385,2,['k'],['k'],Y,,,female,21
0,96,96,519,2,['k'],['k'],Y,,,female,21
0,97,97,347,2,['k'],['k'],Y,,,female,21
0,98,98,337,2,['k'],['k'],Y,,,female,21
0,99,99,9,2,['d'],['d'],Y,,,female,21
,,,,,,,"48 correct, 2 wrong",,,,
0,100,100,137,3,['d'],['d'],Y,,,female,21
0,101,101,285,3,['d'],['d'],Y,,,female,21
0,102,102,124,3,['d'],['d'],Y,,,female,21
0,103,103,63,3,['d'],['d'],Y,,,female,21
0,104,104,179,3,['d'],['d'],Y,,,female,21
