.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Correct?,Category,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,244,1,None,Timed out,,,,,f,21
0,1,1,574,1,None,Timed out,,,,,f,21
0,2,2,499,1,['d'],N,['k'],,,,f,21
0,3,3,579,1,['d'],N,['k'],,,,f,21
0,4,4,162,1,['d'],Y,['d'],,,,f,21
0,5,5,322,1,['d'],N,['k'],,,,f,21
0,6,6,501,1,['k'],Y,['k'],,,,f,21
0,7,7,537,1,['d'],N,['k'],,,,f,21
0,8,8,202,1,['k'],N,['d'],,,,f,21
0,9,9,595,1,['k'],Y,['k'],,,,f,21
0,10,10,561,1,['k'],Y,['k'],,,,f,21
0,11,11,566,1,['k'],Y,['k'],,,,f,21
0,12,12,19,1,['d'],Y,['d'],,,,f,21
0,13,13,60,1,['k'],N,['d'],,,,f,21
0,14,14,391,1,['k'],Y,['k'],,,,f,21
0,15,15,250,1,['d'],Y,['d'],,,,f,21
0,16,16,558,1,['k'],Y,['k'],,,,f,21
0,17,17,67,1,['d'],Y,['d'],,,,f,21
0,18,18,38,1,['d'],Y,['d'],,,,f,21
0,19,19,352,1,['k'],Y,['k'],,,,f,21
0,20,20,270,1,['d'],Y,['d'],,,,f,21
0,21,21,300,1,['k'],Y,['k'],,,,f,21
0,22,22,44,1,['d'],Y,['d'],,,,f,21
0,23,23,400,1,['k'],Y,['k'],,,,f,21
0,24,24,173,1,['d'],Y,['d'],,,,f,21
0,25,25,301,1,['k'],Y,['k'],,,,f,21
0,26,26,166,1,['d'],Y,['d'],,,,f,21
0,27,27,334,1,['k'],Y,['k'],,,,f,21
0,28,28,382,1,['k'],Y,['k'],,,,f,21
0,29,29,394,1,['k'],Y,['k'],,,,f,21
0,30,30,153,1,['d'],Y,['d'],,,,f,21
0,31,31,403,1,['k'],Y,['k'],,,,f,21
0,32,32,303,1,['k'],Y,['k'],,,,f,21
0,33,33,462,1,['k'],Y,['k'],,,,f,21
0,34,34,556,1,['k'],Y,['k'],,,,f,21
0,35,35,355,1,['k'],Y,['k'],,,,f,21
0,36,36,149,1,['d'],Y,['d'],,,,f,21
0,37,37,25,1,['d'],Y,['d'],,,,f,21
0,38,38,340,1,['k'],Y,['k'],,,,f,21
0,39,39,215,1,['d'],Y,['d'],,,,f,21
0,40,40,528,1,['k'],Y,['k'],,,,f,21
0,41,41,61,1,['d'],Y,['d'],,,,f,21
0,42,42,346,1,['k'],Y,['k'],,,,f,21
0,43,43,277,1,['d'],Y,['d'],,,,f,21
0,44,44,276,1,['d'],Y,['d'],,,,f,21
0,45,45,548,1,['k'],Y,['k'],,,,f,21
0,46,46,208,1,['k'],N,['d'],,,,f,21
0,47,47,442,1,['k'],Y,['k'],,,,f,21
0,48,48,232,1,['d'],Y,['d'],,,,f,21
0,49,49,42,1,['d'],Y,['d'],,,,f,21
,,,,,,"41 correct, 7 wrong, 2 timed out",,,,,,
0,50,50,227,2,['d'],Y,['d'],,,,f,21
0,51,51,78,2,['d'],Y,['d'],,,,f,21
0,52,52,151,2,['d'],Y,['d'],,,,f,21
0,53,53,171,2,['d'],Y,['d'],,,,f,21
0,54,54,222,2,['d'],Y,['d'],,,,f,21
0,55,55,154,2,['d'],Y,['d'],,,,f,21
0,56,56,380,2,['k'],Y,['k'],,,,f,21
0,57,57,369,2,['k'],Y,['k'],,,,f,21
0,58,58,326,2,['d'],N,['k'],,,,f,21
0,59,59,229,2,['d'],Y,['d'],,,,f,21
0,60,60,126,2,['d'],Y,['d'],,,,f,21
0,61,61,348,2,['k'],Y,['k'],,,,f,21
0,62,62,35,2,['d'],Y,['d'],,,,f,21
0,63,63,362,2,['k'],Y,['k'],,,,f,21
0,64,64,328,2,['k'],Y,['k'],,,,f,21
0,65,65,66,2,['d'],Y,['d'],,,,f,21
0,66,66,8,2,['d'],Y,['d'],,,,f,21
0,67,67,231,2,['d'],Y,['d'],,,,f,21
