.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,79,1,['d'],['d'],Y,,,,F,23
0,1,1,119,1,['d'],['d'],Y,,,,F,23
0,2,2,295,1,['d'],['d'],Y,,,,F,23
0,3,3,269,1,['k'],['d'],N,,,,F,23
0,4,4,152,1,['k'],['d'],N,,,,F,23
0,5,5,516,1,['k'],['k'],Y,,,,F,23
0,6,6,264,1,['d'],['d'],Y,,,,F,23
0,7,7,413,1,['k'],['k'],Y,,,,F,23
0,8,8,257,1,['d'],['d'],Y,,,,F,23
0,9,9,297,1,['k'],['d'],N,,,,F,23
0,10,10,104,1,['d'],['d'],Y,,,,F,23
0,11,11,338,1,['k'],['k'],Y,,,,F,23
0,12,12,184,1,['d'],['d'],Y,,,,F,23
0,13,13,450,1,['d'],['k'],N,,,,F,23
0,14,14,27,1,['d'],['d'],Y,,,,F,23
0,15,15,405,1,['k'],['k'],Y,,,,F,23
0,16,16,428,1,['k'],['k'],Y,,,,F,23
0,17,17,470,1,['k'],['k'],Y,,,,F,23
0,18,18,114,1,['d'],['d'],Y,,,,F,23
0,19,19,276,1,['d'],['d'],Y,,,,F,23
0,20,20,92,1,['d'],['d'],Y,,,,F,23
0,21,21,65,1,['d'],['d'],Y,,,,F,23
0,22,22,90,1,['d'],['d'],Y,,,,F,23
0,23,23,252,1,['k'],['d'],N,,,,F,23
0,24,24,546,1,['k'],['k'],Y,,,,F,23
0,25,25,268,1,['d'],['d'],Y,,,,F,23
0,26,26,174,1,['d'],['d'],Y,,,,F,23
0,27,27,230,1,['d'],['d'],Y,,,,F,23
0,28,28,541,1,['k'],['k'],Y,,,,F,23
0,29,29,232,1,['d'],['d'],Y,,,,F,23
0,30,30,579,1,['k'],['k'],Y,,,,F,23
0,31,31,281,1,['d'],['d'],Y,,,,F,23
0,32,32,151,1,['d'],['d'],Y,,,,F,23
0,33,33,510,1,['k'],['k'],Y,,,,F,23
0,34,34,361,1,['k'],['k'],Y,,,,F,23
0,35,35,317,1,['k'],['k'],Y,,,,F,23
0,36,36,172,1,['k'],['d'],N,,,,F,23
0,37,37,443,1,['k'],['k'],Y,,,,F,23
0,38,38,91,1,['k'],['d'],N,,,,F,23
0,39,39,56,1,['d'],['d'],Y,,,,F,23
0,40,40,102,1,['d'],['d'],Y,,,,F,23
0,41,41,61,1,['k'],['d'],N,,,,F,23
0,42,42,32,1,['d'],['d'],Y,,,,F,23
0,43,43,19,1,['d'],['d'],Y,,,,F,23
0,44,44,166,1,['d'],['d'],Y,,,,F,23
0,45,45,31,1,['d'],['d'],Y,,,,F,23
0,46,46,244,1,['d'],['d'],Y,,,,F,23
0,47,47,247,1,['d'],['d'],Y,,,,F,23
0,48,48,576,1,['k'],['k'],Y,,,,F,23
0,49,49,382,1,['k'],['k'],Y,,,,F,23
,,,,,,,,,,,,
0,50,50,213,2,['d'],['d'],Y,,,,F,23
0,51,51,24,2,['d'],['d'],Y,,,,F,23
