.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Correct?,Category,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,569,1,None,Timed out,,,,,Female,21
0,1,1,313,1,['k'],Y,['k'],,,,Female,21
0,2,2,380,1,['k'],Y,['k'],,,,Female,21
0,3,3,557,1,['d'],N,['k'],,,,Female,21
0,4,4,572,1,['k'],Y,['k'],,,,Female,21
0,5,5,205,1,['d'],Y,['d'],,,,Female,21
0,6,6,424,1,['k'],Y,['k'],,,,Female,21
0,7,7,278,1,['d'],Y,['d'],,,,Female,21
0,8,8,110,1,['k'],N,['d'],,,,Female,21
0,9,9,414,1,['d'],N,['k'],,,,Female,21
0,10,10,516,1,['k'],Y,['k'],,,,Female,21
0,11,11,442,1,['k'],Y,['k'],,,,Female,21
0,12,12,334,1,['k'],Y,['k'],,,,Female,21
0,13,13,546,1,['k'],Y,['k'],,,,Female,21
0,14,14,208,1,['k'],N,['d'],,,,Female,21
0,15,15,514,1,['k'],Y,['k'],,,,Female,21
0,16,16,274,1,['d'],Y,['d'],,,,Female,21
0,17,17,76,1,['d'],Y,['d'],,,,Female,21
0,18,18,254,1,['d'],Y,['d'],,,,Female,21
0,19,19,480,1,['k'],Y,['k'],,,,Female,21
0,20,20,21,1,['d'],Y,['d'],,,,Female,21
0,21,21,537,1,['k'],Y,['k'],,,,Female,21
0,22,22,251,1,['d'],Y,['d'],,,,Female,21
0,23,23,10,1,['d'],Y,['d'],,,,Female,21
0,24,24,536,1,['k'],Y,['k'],,,,Female,21
0,25,25,310,1,['d'],N,['k'],,,,Female,21
0,26,26,124,1,['d'],Y,['d'],,,,Female,21
0,27,27,486,1,['k'],Y,['k'],,,,Female,21
0,28,28,427,1,['k'],Y,['k'],,,,Female,21
0,29,29,155,1,['d'],Y,['d'],,,,Female,21
0,30,30,565,1,['k'],Y,['k'],,,,Female,21
0,31,31,417,1,['d'],N,['k'],,,,Female,21
0,32,32,216,1,['k'],N,['d'],,,,Female,21
0,33,33,372,1,['k'],Y,['k'],,,,Female,21
0,34,34,447,1,['k'],Y,['k'],,,,Female,21
0,35,35,277,1,['d'],Y,['d'],,,,Female,21
0,36,36,408,1,['k'],Y,['k'],,,,Female,21
0,37,37,493,1,['k'],Y,['k'],,,,Female,21
0,38,38,115,1,['d'],Y,['d'],,,,Female,21
0,39,39,548,1,['k'],Y,['k'],,,,Female,21
0,40,40,236,1,['d'],Y,['d'],,,,Female,21
0,41,41,597,1,['k'],Y,['k'],,,,Female,21
0,42,42,570,1,['k'],Y,['k'],,,,Female,21
0,43,43,130,1,['k'],N,['d'],,,,Female,21
0,44,44,346,1,['d'],N,['k'],,,,Female,21
0,45,45,67,1,['d'],Y,['d'],,,,Female,21
0,46,46,533,1,['k'],Y,['k'],,,,Female,21
0,47,47,472,1,['k'],Y,['k'],,,,Female,21
0,48,48,164,1,['d'],Y,['d'],,,,Female,21
0,49,49,358,1,['k'],Y,['k'],,,,Female,21
,,,,,,40,,,,,,
0,50,50,393,2,['k'],Y,['k'],,,,Female,21
0,51,51,594,2,['k'],Y,['k'],,,,Female,21
0,52,52,484,2,['k'],Y,['k'],,,,Female,21
0,53,53,78,2,['k'],N,['d'],,,,Female,21
0,54,54,18,2,['d'],Y,['d'],,,,Female,21
0,55,55,12,2,['d'],Y,['d'],,,,Female,21
0,56,56,593,2,['k'],Y,['k'],,,,Female,21
0,57,57,369,2,['d'],N,['k'],,,,Female,21
0,58,58,45,2,['d'],Y,['d'],,,,Female,21
0,59,59,481,2,['k'],Y,['k'],,,,Female,21
0,60,60,592,2,['k'],Y,['k'],,,,Female,21
0,61,61,148,2,['d'],Y,['d'],,,,Female,21
0,62,62,22,2,['d'],Y,['d'],,,,Female,21
0,63,63,252,2,['d'],Y,['d'],,,,Female,21
0,64,64,270,2,['d'],Y,['d'],,,,Female,21
0,65,65,467,2,['d'],N,['k'],,,,Female,21
0,66,66,475,2,['k'],Y,['k'],,,,Female,21
0,67,67,397,2,['k'],Y,['k'],,,,Female,21
0,68,68,430,2,['k'],Y,['k'],,,,Female,21
0,69,69,353,2,['k'],Y,['k'],,,,Female,21
0,70,70,470,2,['k'],Y,['k'],,,,Female,21
0,71,71,224,2,['d'],Y,['d'],,,,Female,21
0,72,72,173,2,['k'],N,['d'],,,,Female,21
0,73,73,267,2,['d'],Y,['d'],,,,Female,21
0,74,74,188,2,['d'],Y,['d'],,,,Female,21
0,75,75,86,2,['k'],N,['d'],,,,Female,21
0,76,76,563,2,['k'],Y,['k'],,,,Female,21
0,77,77,428,2,['k'],Y,['k'],,,,Female,21
0,78,78,496,2,['k'],Y,['k'],,,,Female,21
0,79,79,152,2,['k'],N,['d'],,,,Female,21
0,80,80,24,2,['k'],N,['d'],,,,Female,21
0,81,81,371,2,['k'],Y,['k'],,,,Female,21
0,82,82,479,2,['k'],Y,['k'],,,,Female,21
0,83,83,404,2,['d'],N,['k'],,,,Female,21
0,84,84,140,2,['d'],Y,['d'],,,,Female,21
0,85,85,157,2,['d'],Y,['d'],,,,Female,21
0,86,86,462,2,['d'],N,['k'],,,,Female,21
0,87,87,560,2,['k'],Y,['k'],,,,Female,21
0,88,88,521,2,['k'],Y,['k'],,,,Female,21
0,89,89,474,2,['k'],Y,['k'],,,,Female,21
0,90,90,596,2,['k'],Y,['k'],,,,Female,21
0,91,91,502,2,['k'],Y,['k'],,,,Female,21
0,92,92,222,2,['k'],N,['d'],,,,Female,21
0,93,93,437,2,['k'],Y,['k'],,,,Female,21
0,94,94,146,2,['d'],Y,['d'],,,,Female,21
0,95,95,228,2,['k'],N,['d'],,,,Female,21
0,96,96,544,2,['k'],Y,['k'],,,,Female,21
0,97,97,585,2,['k'],Y,['k'],,,,Female,21
0,98,98,53,2,['d'],Y,['d'],,,,Female,21
0,99,99,242,2,['k'],N,['d'],,,,Female,21
,,,,,,"38, 12",,,,,,
0,100,100,561,3,['k'],Y,['k'],,,,Female,21
0,101,101,308,3,['k'],Y,['k'],,,,Female,21
0,102,102,93,3,['d'],Y,['d'],,,,Female,21
0,103,103,338,3,['k'],Y,['k'],,,,Female,21
0,104,104,399,3,['d'],N,['k'],,,,Female,21
0,105,105,431,3,['k'],Y,['k'],,,,Female,21
0,106,106,250,3,['d'],Y,['d'],,,,Female,21
0,107,107,432,3,['d'],N,['k'],,,,Female,21
0,108,108,552,3,['k'],Y,['k'],,,,Female,21
0,109,109,247,3,['d'],Y,['d'],,,,Female,21
0,110,110,303,3,['k'],Y,['k'],,,,Female,21
0,111,111,391,3,['k'],Y,['k'],,,,Female,21
0,112,112,272,3,['k'],N,['d'],,,,Female,21
0,113,113,96,3,['d'],Y,['d'],,,,Female,21
0,114,114,330,3,['d'],N,['k'],,,,Female,21
0,115,115,80,3,['k'],N,['d'],,,,Female,21
0,116,116,476,3,['d'],N,['k'],,,,Female,21
0,117,117,301,3,['k'],Y,['k'],,,,Female,21
0,118,118,101,3,['d'],Y,['d'],,,,Female,21
0,119,119,449,3,['k'],Y,['k'],,,,Female,21
0,120,120,286,3,['d'],Y,['d'],,,,Female,21
0,121,121,103,3,['d'],Y,['d'],,,,Female,21
0,122,122,389,3,['k'],Y,['k'],,,,Female,21
0,123,123,558,3,['k'],Y,['k'],,,,Female,21
0,124,124,257,3,['d'],Y,['d'],,,,Female,21
0,125,125,523,3,['k'],Y,['k'],,,,Female,21
0,126,126,436,3,['d'],N,['k'],,,,Female,21
0,127,127,299,3,['d'],Y,['d'],,,,Female,21
0,128,128,341,3,['k'],Y,['k'],,,,Female,21
0,129,129,240,3,['k'],N,['d'],,,,Female,21
0,130,130,171,3,['d'],Y,['d'],,,,Female,21
0,131,131,529,3,['k'],Y,['k'],,,,Female,21
0,132,132,458,3,['k'],Y,['k'],,,,Female,21
0,133,133,435,3,['k'],Y,['k'],,,,Female,21
0,134,134,339,3,['k'],Y,['k'],,,,Female,21
0,135,135,465,3,['k'],Y,['k'],,,,Female,21
0,136,136,147,3,['d'],Y,['d'],,,,Female,21
0,137,137,469,3,['k'],Y,['k'],,,,Female,21
0,138,138,264,3,['d'],Y,['d'],,,,Female,21
0,139,139,566,3,['d'],N,['k'],,,,Female,21
0,140,140,43,3,['k'],N,['d'],,,,Female,21
0,141,141,293,3,['d'],Y,['d'],,,,Female,21
0,142,142,290,3,['d'],Y,['d'],,,,Female,21
0,143,143,584,3,['k'],Y,['k'],,,,Female,21
0,144,144,172,3,['d'],Y,['d'],,,,Female,21
0,145,145,477,3,['d'],N,['k'],,,,Female,21
0,146,146,145,3,['d'],Y,['d'],,,,Female,21
0,147,147,98,3,['d'],Y,['d'],,,,Female,21
0,148,148,95,3,['d'],Y,['d'],,,,Female,21
0,149,149,47,3,['d'],Y,['d'],,,,Female,21
,,,,,,"39, 11",,,,,,
0,150,150,255,4,['k'],N,['d'],,,,Female,21
0,151,151,411,4,['k'],Y,['k'],,,,Female,21
0,152,152,382,4,['k'],Y,['k'],,,,Female,21
0,153,153,25,4,['d'],Y,['d'],,,,Female,21
0,154,154,66,4,['d'],Y,['d'],,,,Female,21
0,155,155,365,4,['k'],Y,['k'],,,,Female,21
0,156,156,573,4,['k'],Y,['k'],,,,Female,21
0,157,157,547,4,['k'],Y,['k'],,,,Female,21
0,158,158,482,4,['k'],Y,['k'],,,,Female,21
0,159,159,81,4,['d'],Y,['d'],,,,Female,21
0,160,160,58,4,['d'],Y,['d'],,,,Female,21
0,161,161,471,4,['d'],N,['k'],,,,Female,21
0,162,162,409,4,['k'],Y,['k'],,,,Female,21
0,163,163,461,4,['k'],Y,['k'],,,,Female,21
0,164,164,174,4,['d'],Y,['d'],,,,Female,21
0,165,165,318,4,['k'],Y,['k'],,,,Female,21
0,166,166,243,4,['d'],Y,['d'],,,,Female,21
0,167,167,262,4,['d'],Y,['d'],,,,Female,21
0,168,168,513,4,['k'],Y,['k'],,,,Female,21
0,169,169,203,4,['d'],Y,['d'],,,,Female,21
0,170,170,401,4,['k'],Y,['k'],,,,Female,21
0,171,171,57,4,['d'],Y,['d'],,,,Female,21
0,172,172,100,4,['k'],N,['d'],,,,Female,21
0,173,173,51,4,['d'],Y,['d'],,,,Female,21
0,174,174,3,4,['d'],Y,['d'],,,,Female,21
0,175,175,259,4,['k'],N,['d'],,,,Female,21
0,176,176,512,4,['k'],Y,['k'],,,,Female,21
0,177,177,217,4,['d'],Y,['d'],,,,Female,21
0,178,178,343,4,['k'],Y,['k'],,,,Female,21
0,179,179,291,4,['d'],Y,['d'],,,,Female,21
0,180,180,210,4,['k'],N,['d'],,,,Female,21
0,181,181,2,4,['d'],Y,['d'],,,,Female,21
0,182,182,549,4,['k'],Y,['k'],,,,Female,21
0,183,183,89,4,['d'],Y,['d'],,,,Female,21
0,184,184,564,4,['d'],N,['k'],,,,Female,21
0,185,185,102,4,['k'],N,['d'],,,,Female,21
0,186,186,142,4,['d'],Y,['d'],,,,Female,21
0,187,187,532,4,['k'],Y,['k'],,,,Female,21
0,188,188,283,4,['d'],Y,['d'],,,,Female,21
0,189,189,63,4,['d'],Y,['d'],,,,Female,21
0,190,190,72,4,['d'],Y,['d'],,,,Female,21
0,191,191,348,4,['k'],Y,['k'],,,,Female,21
0,192,192,510,4,['k'],Y,['k'],,,,Female,21
0,193,193,112,4,['d'],Y,['d'],,,,Female,21
0,194,194,35,4,['d'],Y,['d'],,,,Female,21
0,195,195,553,4,['k'],Y,['k'],,,,Female,21
0,196,196,141,4,['d'],Y,['d'],,,,Female,21
0,197,197,468,4,['k'],Y,['k'],,,,Female,21
0,198,198,464,4,['k'],Y,['k'],,,,Female,21
0,199,199,370,4,['k'],Y,['k'],,,,Female,21
,,,,,,43,,,,,,
0,200,200,450,5,['d'],N,['k'],,,,Female,21
0,201,201,261,5,['k'],N,['d'],,,,Female,21
0,202,202,107,5,['d'],Y,['d'],,,,Female,21
0,203,203,488,5,['k'],Y,['k'],,,,Female,21
0,204,204,161,5,['d'],Y,['d'],,,,Female,21
