.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,437,1,['d'],['k'],N,,,,F,23
0,1,1,495,1,['k'],['k'],Y,,,,F,23
0,2,2,552,1,['d'],['k'],N,,,,F,23
0,3,3,55,1,['d'],['d'],Y,,,,F,23
0,4,4,23,1,['k'],['d'],N,,,,F,23
0,5,5,449,1,None,,Timed out,,,,F,23
0,6,6,528,1,['d'],['k'],N,,,,F,23
0,7,7,275,1,['d'],['d'],Y,,,,F,23
0,8,8,315,1,['k'],['k'],Y,,,,F,23
0,9,9,440,1,['k'],['k'],Y,,,,F,23
0,10,10,342,1,['d'],['k'],N,,,,F,23
0,11,11,380,1,['k'],['k'],Y,,,,F,23
0,12,12,547,1,['k'],['k'],Y,,,,F,23
0,13,13,381,1,['k'],['k'],Y,,,,F,23
0,14,14,486,1,['k'],['k'],Y,,,,F,23
0,15,15,549,1,['k'],['k'],Y,,,,F,23
0,16,16,442,1,['k'],['k'],Y,,,,F,23
0,17,17,108,1,['d'],['d'],Y,,,,F,23
0,18,18,73,1,['k'],['d'],N,,,,F,23
0,19,19,575,1,['d'],['k'],N,,,,F,23
0,20,20,135,1,['d'],['d'],Y,,,,F,23
0,21,21,485,1,['k'],['k'],Y,,,,F,23
0,22,22,386,1,['k'],['k'],Y,,,,F,23
0,23,23,546,1,['k'],['k'],Y,,,,F,23
0,24,24,385,1,['k'],['k'],Y,,,,F,23
0,25,25,69,1,['d'],['d'],Y,,,,F,23
0,26,26,582,1,['k'],['k'],Y,,,,F,23
0,27,27,182,1,['d'],['d'],Y,,,,F,23
0,28,28,115,1,['d'],['d'],Y,,,,F,23
0,29,29,63,1,['k'],['d'],N,,,,F,23
0,30,30,586,1,['k'],['k'],Y,,,,F,23
0,31,31,361,1,['k'],['k'],Y,,,,F,23
0,32,32,471,1,['d'],['k'],N,,,,F,23
0,33,33,178,1,['d'],['d'],Y,,,,F,23
0,34,34,533,1,['k'],['k'],Y,,,,F,23
0,35,35,421,1,['k'],['k'],Y,,,,F,23
0,36,36,379,1,['d'],['k'],N,,,,F,23
0,37,37,541,1,['k'],['k'],Y,,,,F,23
0,38,38,198,1,['d'],['d'],Y,,,,F,23
0,39,39,252,1,['d'],['d'],Y,,,,F,23
0,40,40,405,1,['k'],['k'],Y,,,,F,23
0,41,41,456,1,['k'],['k'],Y,,,,F,23
0,42,42,283,1,['k'],['d'],N,,,,F,23
0,43,43,7,1,None,,Timed out,,,,F,23
0,44,44,457,1,['k'],['k'],Y,,,,F,23
0,45,45,410,1,['k'],['k'],Y,,,,F,23
0,46,46,450,1,['d'],['k'],N,,,,F,23
0,47,47,280,1,['d'],['d'],Y,,,,F,23
0,48,48,365,1,['k'],['k'],Y,,,,F,23
0,49,49,262,1,['d'],['d'],Y,,,,F,23
,,,,,,,"36, 14",,,,,
0,50,50,530,2,['k'],['k'],Y,,,,F,23
0,51,51,231,2,['d'],['d'],Y,,,,F,23
0,52,52,210,2,['d'],['d'],Y,,,,F,23
0,53,53,384,2,['k'],['k'],Y,,,,F,23
0,54,54,522,2,['d'],['k'],N,,,,F,23
0,55,55,230,2,['d'],['d'],Y,,,,F,23
0,56,56,376,2,['k'],['k'],Y,,,,F,23
0,57,57,504,2,['k'],['k'],Y,,,,F,23
0,58,58,431,2,['k'],['k'],Y,,,,F,23
0,59,59,86,2,['k'],['d'],N,,,,F,23
0,60,60,179,2,['k'],['d'],N,,,,F,23
0,61,61,277,2,['d'],['d'],Y,,,,F,23
0,62,62,81,2,['k'],['d'],N,,,,F,23
0,63,63,345,2,['k'],['k'],Y,,,,F,23
0,64,64,290,2,['d'],['d'],Y,,,,F,23
0,65,65,483,2,['d'],['k'],N,,,,F,23
0,66,66,258,2,['d'],['d'],Y,,,,F,23
0,67,67,436,2,['k'],['k'],Y,,,,F,23
0,68,68,236,2,['d'],['d'],Y,,,,F,23
0,69,69,291,2,['k'],['d'],N,,,,F,23
