.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Correct?,Category,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,510,1,None,Timed out,,,,,female,20
0,1,1,592,1,['k'],Y,['k'],,,,female,20
0,2,2,293,1,['d'],Y,['d'],,,,female,20
0,3,3,427,1,['k'],Y,['k'],,,,female,20
0,4,4,489,1,['d'],N,['k'],,,,female,20
0,5,5,173,1,['d'],Y,['d'],,,,female,20
0,6,6,475,1,['k'],Y,['k'],,,,female,20
0,7,7,123,1,['d'],Y,['d'],,,,female,20
0,8,8,597,1,['k'],Y,['k'],,,,female,20
0,9,9,503,1,['d'],N,['k'],,,,female,20
0,10,10,434,1,['k'],Y,['k'],,,,female,20
0,11,11,558,1,['d'],N,['k'],,,,female,20
0,12,12,177,1,['k'],N,['d'],,,,female,20
0,13,13,481,1,['d'],N,['k'],,,,female,20
0,14,14,505,1,['d'],N,['k'],,,,female,20
0,15,15,483,1,['k'],Y,['k'],,,,female,20
0,16,16,200,1,['k'],N,['d'],,,,female,20
0,17,17,453,1,['k'],Y,['k'],,,,female,20
0,18,18,571,1,['k'],Y,['k'],,,,female,20
0,19,19,251,1,['d'],Y,['d'],,,,female,20
0,20,20,8,1,['d'],Y,['d'],,,,female,20
0,21,21,206,1,['k'],N,['d'],,,,female,20
0,22,22,586,1,['k'],Y,['k'],,,,female,20
0,23,23,40,1,['d'],Y,['d'],,,,female,20
0,24,24,188,1,['k'],N,['d'],,,,female,20
0,25,25,194,1,['k'],N,['d'],,,,female,20
0,26,26,155,1,['d'],Y,['d'],,,,female,20
0,27,27,491,1,['d'],N,['k'],,,,female,20
0,28,28,330,1,['d'],N,['k'],,,,female,20
0,29,29,364,1,['k'],Y,['k'],,,,female,20
0,30,30,149,1,['k'],N,['d'],,,,female,20
0,31,31,250,1,['d'],Y,['d'],,,,female,20
0,32,32,520,1,['d'],N,['k'],,,,female,20
0,33,33,145,1,['k'],N,['d'],,,,female,20
0,34,34,219,1,['d'],Y,['d'],,,,female,20
0,35,35,165,1,['k'],N,['d'],,,,female,20
0,36,36,12,1,['d'],Y,['d'],,,,female,20
0,37,37,495,1,['d'],N,['k'],,,,female,20
0,38,38,583,1,['k'],Y,['k'],,,,female,20
0,39,39,559,1,['k'],Y,['k'],,,,female,20
0,40,40,515,1,['d'],N,['k'],,,,female,20
0,41,41,63,1,['d'],Y,['d'],,,,female,20
0,42,42,323,1,['d'],N,['k'],,,,female,20
0,43,43,336,1,['d'],N,['k'],,,,female,20
0,44,44,26,1,['k'],N,['d'],,,,female,20
0,45,45,585,1,['k'],Y,['k'],,,,female,20
0,46,46,487,1,['k'],Y,['k'],,,,female,20
0,47,47,297,1,['k'],N,['d'],,,,female,20
0,48,48,263,1,['d'],Y,['d'],,,,female,20
0,49,49,301,1,['d'],N,['k'],,,,female,20
,,,,,,"26, 23, 1",,,,,,
0,50,50,190,2,['k'],N,['d'],,,,female,20
0,51,51,245,2,['k'],N,['d'],,,,female,20
0,52,52,497,2,['d'],N,['k'],,,,female,20
0,53,53,391,2,['k'],Y,['k'],,,,female,20
0,54,54,347,2,['d'],N,['k'],,,,female,20
0,55,55,84,2,['d'],Y,['d'],,,,female,20
0,56,56,501,2,['k'],Y,['k'],,,,female,20
0,57,57,438,2,['k'],Y,['k'],,,,female,20
0,58,58,574,2,['d'],N,['k'],,,,female,20
0,59,59,417,2,['k'],Y,['k'],,,,female,20
0,60,60,590,2,['d'],N,['k'],,,,female,20
0,61,61,562,2,['d'],N,['k'],,,,female,20
0,62,62,262,2,['k'],N,['d'],,,,female,20
0,63,63,58,2,['d'],Y,['d'],,,,female,20
0,64,64,552,2,['k'],Y,['k'],,,,female,20
0,65,65,107,2,['d'],Y,['d'],,,,female,20
0,66,66,271,2,['d'],Y,['d'],,,,female,20
0,67,67,557,2,['d'],N,['k'],,,,female,20
0,68,68,531,2,['k'],Y,['k'],,,,female,20
0,69,69,2,2,['d'],Y,['d'],,,,female,20
0,70,70,211,2,['d'],Y,['d'],,,,female,20
0,71,71,161,2,['d'],Y,['d'],,,,female,20
0,72,72,273,2,['k'],N,['d'],,,,female,20
0,73,73,373,2,['d'],N,['k'],,,,female,20
0,74,74,371,2,['d'],N,['k'],,,,female,20
0,75,75,24,2,['k'],N,['d'],,,,female,20
0,76,76,180,2,['d'],Y,['d'],,,,female,20
0,77,77,410,2,['k'],Y,['k'],,,,female,20
0,78,78,7,2,['d'],Y,['d'],,,,female,20
0,79,79,218,2,['k'],N,['d'],,,,female,20
0,80,80,57,2,['d'],Y,['d'],,,,female,20
0,81,81,119,2,['d'],Y,['d'],,,,female,20
0,82,82,3,2,['k'],N,['d'],,,,female,20
0,83,83,87,2,['d'],Y,['d'],,,,female,20
0,84,84,594,2,['k'],Y,['k'],,,,female,20
0,85,85,168,2,['k'],N,['d'],,,,female,20
0,86,86,21,2,['d'],Y,['d'],,,,female,20
0,87,87,30,2,['k'],N,['d'],,,,female,20
0,88,88,533,2,['k'],Y,['k'],,,,female,20
0,89,89,316,2,['d'],N,['k'],,,,female,20
0,90,90,528,2,['k'],Y,['k'],,,,female,20
0,91,91,431,2,['k'],Y,['k'],,,,female,20
0,92,92,80,2,['d'],Y,['d'],,,,female,20
0,93,93,228,2,['k'],N,['d'],,,,female,20
0,94,94,535,2,['d'],N,['k'],,,,female,20
0,95,95,29,2,['k'],N,['d'],,,,female,20
0,96,96,100,2,['k'],N,['d'],,,,female,20
0,97,97,220,2,['d'],Y,['d'],,,,female,20
0,98,98,181,2,['k'],N,['d'],,,,female,20
0,99,99,544,2,['k'],Y,['k'],,,,female,20
,,,,,,"27, 23",,,,,,
0,100,100,473,3,['k'],Y,['k'],,,,female,20
0,101,101,154,3,['d'],Y,['d'],,,,female,20
0,102,102,508,3,['k'],Y,['k'],,,,female,20
0,103,103,47,3,['d'],Y,['d'],,,,female,20
0,104,104,589,3,['d'],N,['k'],,,,female,20
0,105,105,135,3,['d'],Y,['d'],,,,female,20
0,106,106,512,3,['k'],Y,['k'],,,,female,20
0,107,107,513,3,['k'],Y,['k'],,,,female,20
0,108,108,359,3,['k'],Y,['k'],,,,female,20
0,109,109,74,3,['d'],Y,['d'],,,,female,20
0,110,110,386,3,['k'],Y,['k'],,,,female,20
0,111,111,65,3,['d'],Y,['d'],,,,female,20
0,112,112,36,3,['d'],Y,['d'],,,,female,20
0,113,113,39,3,['d'],Y,['d'],,,,female,20
0,114,114,595,3,['k'],Y,['k'],,,,female,20
0,115,115,428,3,['k'],Y,['k'],,,,female,20
0,116,116,138,3,['d'],Y,['d'],,,,female,20
0,117,117,116,3,['d'],Y,['d'],,,,female,20
0,118,118,311,3,['k'],Y,['k'],,,,female,20
0,119,119,476,3,['k'],Y,['k'],,,,female,20
0,120,120,23,3,['d'],Y,['d'],,,,female,20
0,121,121,472,3,['k'],Y,['k'],,,,female,20
0,122,122,469,3,['k'],Y,['k'],,,,female,20
0,123,123,32,3,['d'],Y,['d'],,,,female,20
