.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,334,1,['d'],['k'],N,,,,F,20
0,1,1,41,1,['d'],['d'],Y,,,,F,20
0,2,2,196,1,['k'],['d'],N,,,,F,20
0,3,3,327,1,['k'],['k'],Y,,,,F,20
0,4,4,362,1,['k'],['k'],Y,,,,F,20
0,5,5,5,1,['d'],['d'],Y,,,,F,20
0,6,6,446,1,['d'],['k'],N,,,,F,20
0,7,7,483,1,['d'],['k'],N,,,,F,20
0,8,8,369,1,['d'],['k'],N,,,,F,20
0,9,9,347,1,['k'],['k'],Y,,,,F,20
0,10,10,421,1,['k'],['k'],Y,,,,F,20
0,11,11,577,1,['k'],['k'],Y,,,,F,20
0,12,12,473,1,['k'],['k'],Y,,,,F,20
0,13,13,571,1,['k'],['k'],Y,,,,F,20
0,14,14,403,1,['d'],['k'],N,,,,F,20
0,15,15,195,1,['d'],['d'],Y,,,,F,20
0,16,16,523,1,['k'],['k'],Y,,,,F,20
0,17,17,116,1,['d'],['d'],Y,,,,F,20
0,18,18,562,1,['k'],['k'],Y,,,,F,20
0,19,19,108,1,['d'],['d'],Y,,,,F,20
0,20,20,172,1,['k'],['d'],N,,,,F,20
0,21,21,406,1,['k'],['k'],Y,,,,F,20
0,22,22,443,1,['k'],['k'],Y,,,,F,20
0,23,23,561,1,['k'],['k'],Y,,,,F,20
0,24,24,30,1,['d'],['d'],Y,,,,F,20
0,25,25,326,1,['k'],['k'],Y,,,,F,20
0,26,26,100,1,['d'],['d'],Y,,,,F,20
0,27,27,318,1,['k'],['k'],Y,,,,F,20
0,28,28,339,1,['k'],['k'],Y,,,,F,20
0,29,29,140,1,['d'],['d'],Y,,,,F,20
0,30,30,182,1,['k'],['d'],N,,,,F,20
0,31,31,203,1,['d'],['d'],Y,,,,F,20
0,32,32,564,1,['k'],['k'],Y,,,,F,20
0,33,33,508,1,['k'],['k'],Y,,,,F,20
0,34,34,98,1,['d'],['d'],Y,,,,F,20
0,35,35,271,1,['d'],['d'],Y,,,,F,20
0,36,36,336,1,['k'],['k'],Y,,,,F,20
0,37,37,357,1,['k'],['k'],Y,,,,F,20
0,38,38,308,1,['k'],['k'],Y,,,,F,20
0,39,39,422,1,['k'],['k'],Y,,,,F,20
0,40,40,162,1,['d'],['d'],Y,,,,F,20
0,41,41,423,1,['k'],['k'],Y,,,,F,20
0,42,42,217,1,['d'],['d'],Y,,,,F,20
0,43,43,238,1,['d'],['d'],Y,,,,F,20
0,44,44,576,1,['k'],['k'],Y,,,,F,20
0,45,45,395,1,['k'],['k'],Y,,,,F,20
0,46,46,87,1,['d'],['d'],Y,,,,F,20
0,47,47,322,1,['k'],['k'],Y,,,,F,20
0,48,48,379,1,['k'],['k'],Y,,,,F,20
0,49,49,75,1,['d'],['d'],Y,,,,F,20
,,,,,,,"42, 8",,,,,
0,50,50,32,2,['d'],['d'],Y,,,,F,20
0,51,51,390,2,['k'],['k'],Y,,,,F,20
0,52,52,439,2,['k'],['k'],Y,,,,F,20
0,53,53,288,2,['d'],['d'],Y,,,,F,20
0,54,54,131,2,['d'],['d'],Y,,,,F,20
0,55,55,272,2,['d'],['d'],Y,,,,F,20
0,56,56,214,2,['d'],['d'],Y,,,,F,20
0,57,57,45,2,['d'],['d'],Y,,,,F,20
0,58,58,29,2,['d'],['d'],Y,,,,F,20
0,59,59,316,2,['k'],['k'],Y,,,,F,20
0,60,60,550,2,['k'],['k'],Y,,,,F,20
0,61,61,160,2,['d'],['d'],Y,,,,F,20
0,62,62,52,2,['d'],['d'],Y,,,,F,20
0,63,63,225,2,['d'],['d'],Y,,,,F,20
0,64,64,157,2,['d'],['d'],Y,,,,F,20
0,65,65,235,2,['d'],['d'],Y,,,,F,20
0,66,66,460,2,['k'],['k'],Y,,,,F,20
0,67,67,274,2,['d'],['d'],Y,,,,F,20
0,68,68,588,2,['k'],['k'],Y,,,,F,20
0,69,69,305,2,['k'],['k'],Y,,,,F,20
0,70,70,345,2,['k'],['k'],Y,,,,F,20
0,71,71,252,2,['d'],['d'],Y,,,,F,20
0,72,72,578,2,['k'],['k'],Y,,,,F,20
0,73,73,453,2,['k'],['k'],Y,,,,F,20
0,74,74,538,2,['k'],['k'],Y,,,,F,20
0,75,75,343,2,['k'],['k'],Y,,,,F,20
0,76,76,415,2,['k'],['k'],Y,,,,F,20
0,77,77,219,2,['d'],['d'],Y,,,,F,20
0,78,78,86,2,['d'],['d'],Y,,,,F,20
0,79,79,245,2,['d'],['d'],Y,,,,F,20
0,80,80,105,2,['d'],['d'],Y,,,,F,20
0,81,81,537,2,['k'],['k'],Y,,,,F,20
0,82,82,396,2,['k'],['k'],Y,,,,F,20
0,83,83,471,2,['k'],['k'],Y,,,,F,20
0,84,84,186,2,['d'],['d'],Y,,,,F,20
0,85,85,150,2,['d'],['d'],Y,,,,F,20
0,86,86,153,2,['d'],['d'],Y,,,,F,20
0,87,87,201,2,['d'],['d'],Y,,,,F,20
0,88,88,10,2,['d'],['d'],Y,,,,F,20
0,89,89,572,2,['k'],['k'],Y,,,,F,20
0,90,90,589,2,['k'],['k'],Y,,,,F,20
0,91,91,368,2,['k'],['k'],Y,,,,F,20
0,92,92,97,2,['d'],['d'],Y,,,,F,20
0,93,93,598,2,['k'],['k'],Y,,,,F,20
0,94,94,164,2,['d'],['d'],Y,,,,F,20
0,95,95,408,2,['k'],['k'],Y,,,,F,20
0,96,96,80,2,['d'],['d'],Y,,,,F,20
0,97,97,435,2,['k'],['k'],Y,,,,F,20
0,98,98,81,2,['d'],['d'],Y,,,,F,20
0,99,99,450,2,['k'],['k'],Y,,,,F,20
,,,,,,,50,,,,,
0,100,100,375,3,['k'],['k'],Y,,,,F,20
0,101,101,534,3,['k'],['k'],Y,,,,F,20
0,102,102,321,3,['k'],['k'],Y,,,,F,20
0,103,103,91,3,['d'],['d'],Y,,,,F,20
0,104,104,387,3,['k'],['k'],Y,,,,F,20
0,105,105,466,3,['k'],['k'],Y,,,,F,20
0,106,106,302,3,['k'],['k'],Y,,,,F,20
0,107,107,448,3,['k'],['k'],Y,,,,F,20
0,108,108,141,3,['d'],['d'],Y,,,,F,20
0,109,109,582,3,['k'],['k'],Y,,,,F,20
0,110,110,549,3,['k'],['k'],Y,,,,F,20
0,111,111,419,3,['k'],['k'],Y,,,,F,20
0,112,112,365,3,['k'],['k'],Y,,,,F,20
0,113,113,138,3,['d'],['d'],Y,,,,F,20
