.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Actually switched?,Fast?,gender,age
0,0,0,265,1,['d'],['d'],Y,,,,M,21
0,1,1,129,1,['k'],['d'],N,,,,M,21
0,2,2,60,1,['d'],['d'],Y,,,,M,21
0,3,3,311,1,['d'],['k'],N,,,,M,21
0,4,4,303,1,['d'],['k'],N,,,,M,21
0,5,5,274,1,['k'],['d'],N,,,,M,21
0,6,6,521,1,['k'],['k'],Y,,,,M,21
0,7,7,588,1,['d'],['k'],N,,,,M,21
0,8,8,446,1,['k'],['k'],Y,,,,M,21
0,9,9,235,1,['d'],['d'],Y,,,,M,21
0,10,10,255,1,['d'],['d'],Y,,,,M,21
0,11,11,187,1,['k'],['d'],N,,,,M,21
0,12,12,119,1,['d'],['d'],Y,,,,M,21
0,13,13,297,1,['d'],['d'],Y,,,,M,21
0,14,14,134,1,['k'],['d'],N,,,,M,21
0,15,15,243,1,['k'],['d'],N,,,,M,21
0,16,16,147,1,['k'],['d'],N,,,,M,21
0,17,17,342,1,['k'],['k'],Y,,,,M,21
0,18,18,138,1,['d'],['d'],Y,,,,M,21
0,19,19,29,1,['d'],['d'],Y,,,,M,21
0,20,20,510,1,['k'],['k'],Y,,,,M,21
0,21,21,393,1,['k'],['k'],Y,,,,M,21
0,22,22,287,1,['d'],['d'],Y,,,,M,21
0,23,23,125,1,['d'],['d'],Y,,,,M,21
0,24,24,522,1,['k'],['k'],Y,,,,M,21
0,25,25,250,1,['d'],['d'],Y,,,,M,21
0,26,26,23,1,['k'],['d'],N,,,,M,21
0,27,27,380,1,['k'],['k'],Y,,,,M,21
0,28,28,264,1,['d'],['d'],Y,,,,M,21
0,29,29,155,1,['k'],['d'],N,,,,M,21
0,30,30,75,1,['d'],['d'],Y,,,,M,21
0,31,31,84,1,['d'],['d'],Y,,,,M,21
0,32,32,329,1,['k'],['k'],Y,,,,M,21
0,33,33,5,1,['d'],['d'],Y,,,,M,21
0,34,34,366,1,['k'],['k'],Y,,,,M,21
0,35,35,251,1,['d'],['d'],Y,,,,M,21
0,36,36,192,1,['d'],['d'],Y,,,,M,21
0,37,37,504,1,['k'],['k'],Y,,,,M,21
0,38,38,341,1,['k'],['k'],Y,,,,M,21
0,39,39,372,1,['k'],['k'],Y,,,,M,21
0,40,40,276,1,['d'],['d'],Y,,,,M,21
0,41,41,152,1,['d'],['d'],Y,,,,M,21
0,42,42,402,1,['k'],['k'],Y,,,,M,21
0,43,43,436,1,['k'],['k'],Y,,,,M,21
0,44,44,133,1,['d'],['d'],Y,,,,M,21
0,45,45,467,1,['k'],['k'],Y,,,,M,21
0,46,46,419,1,['k'],['k'],Y,,,,M,21
0,47,47,596,1,['k'],['k'],Y,,,,M,21
0,48,48,131,1,['d'],['d'],Y,,,,M,21
0,49,49,567,1,['k'],['k'],Y,,,,M,21
,,,,,,,"39, 11",,,,,
0,50,50,387,2,['k'],['k'],Y,,,,M,21
0,51,51,66,2,['d'],['d'],Y,,,,M,21
0,52,52,234,2,['d'],['d'],Y,,,,M,21
0,53,53,64,2,['k'],['d'],N,,,,M,21
0,54,54,515,2,['k'],['k'],Y,,,,M,21
0,55,55,320,2,['d'],['k'],N,,,,M,21
0,56,56,561,2,['k'],['k'],Y,,,,M,21
0,57,57,17,2,['d'],['d'],Y,,,,M,21
0,58,58,376,2,['k'],['k'],Y,,,,M,21
0,59,59,546,2,['k'],['k'],Y,,,,M,21
0,60,60,240,2,['d'],['d'],Y,,,,M,21
0,61,61,153,2,['d'],['d'],Y,,,,M,21
0,62,62,334,2,['k'],['k'],Y,,,,M,21
0,63,63,107,2,['d'],['d'],Y,,,,M,21
0,64,64,221,2,['d'],['d'],Y,,,,M,21
0,65,65,186,2,['d'],['d'],Y,,,,M,21
0,66,66,444,2,['k'],['k'],Y,,,,M,21
0,67,67,571,2,['k'],['k'],Y,,,,M,21
0,68,68,415,2,['k'],['k'],Y,,,,M,21
0,69,69,164,2,['k'],['d'],N,,,,M,21
0,70,70,579,2,['k'],['k'],Y,,,,M,21
0,71,71,79,2,['d'],['d'],Y,,,,M,21
0,72,72,485,2,['k'],['k'],Y,,,,M,21
0,73,73,454,2,['k'],['k'],Y,,,,M,21
0,74,74,298,2,['d'],['d'],Y,,,,M,21
0,75,75,536,2,['k'],['k'],Y,,,,M,21
0,76,76,277,2,['d'],['d'],Y,,,,M,21
0,77,77,587,2,['d'],['k'],N,,,,M,21
0,78,78,55,2,['d'],['d'],Y,,,,M,21
0,79,79,103,2,['k'],['d'],N,,,,M,21
0,80,80,573,2,['d'],['k'],N,,,,M,21
0,81,81,63,2,['d'],['d'],Y,,,,M,21
0,82,82,180,2,['d'],['d'],Y,,,,M,21
