.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,6,6,1,['d'],['d'],Y,,,,,,,,,,m,20,
0,1,1,2,2,1,['d'],['k'],N,,,,,,,,,,m,20,
0,2,2,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,m,20,
0,3,3,13,13,1,['d'],['k'],N,Y,None,N,,,,,,,m,20,
0,4,4,11,11,1,['d'],['k'],N,Y,None,N,,,,,,,m,20,
0,5,5,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,m,20,
0,6,6,12,12,1,['d'],['k'],N,Y,None,N,,,,,,,m,20,
0,7,7,5,5,1,['k'],['d'],N,Y,None,N,,,,,,,m,20,
0,8,8,5,5,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,20,
0,9,9,6,6,1,['k'],['k'],Y,Y,None,N,,,,,,,m,20,
0,10,10,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,m,20,
0,11,11,4,4,1,['k'],['d'],N,N,None,Y,,,,,,,m,20,
0,12,12,0,0,1,['d'],['d'],Y,Y,None,N,,,,,,,m,20,
0,13,13,4,4,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,20,
0,14,14,7,7,1,['k'],['d'],N,Y,None,N,,,,,,,m,20,
1,0,15,5,5,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,20,
1,1,16,3,3,1,['k'],['d'],N,N,None,Y,,,,,,,m,20,
1,2,17,11,11,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,20,
1,3,18,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,m,20,
1,4,19,10,10,1,['d'],['k'],N,Y,['space'],Y,,,,,,,m,20,
1,5,20,12,12,1,['k'],['d'],N,N,None,Y,,,,,,,m,20,
1,6,21,2,2,1,['d'],['d'],Y,N,None,Y,,,,,,,m,20,
