.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,14,14,1,None,Timed out,,,,,,,,,,,F,22,
0,1,1,0,0,1,['k'],Y,['k'],,,,,,,,,,F,22,
0,2,2,4,4,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
0,3,3,4,4,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
0,4,4,1,1,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
0,5,5,13,13,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
0,6,6,12,12,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
0,7,7,3,3,1,['k'],N,['d'],Y,None,N,,,,,,,F,22,
0,8,8,8,8,1,['d'],N,['k'],N,None,Y,,,,,,,F,22,
0,9,9,10,10,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
0,10,10,4,4,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
0,11,11,12,12,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
0,12,12,2,2,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
0,13,13,14,14,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
0,14,14,2,2,1,['k'],N,['d'],Y,None,N,,,,,,,F,22,
1,0,15,13,13,1,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
1,1,16,14,14,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
1,2,17,1,1,1,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
1,3,18,10,10,1,['k'],N,['d'],N,None,Y,,,,,,,F,22,
1,4,19,13,13,1,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
1,5,20,7,7,1,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
1,6,21,11,11,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
1,7,22,11,11,1,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
1,8,23,14,14,1,['k'],N,['d'],N,None,Y,,,,,,,F,22,
1,9,24,9,9,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
1,10,25,2,2,1,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
1,11,26,7,7,1,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
1,12,27,6,6,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
1,13,28,7,7,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
1,14,29,14,14,1,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
2,0,30,10,10,1,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
2,1,31,7,7,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
2,2,32,12,12,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
2,3,33,1,1,1,['k'],N,['d'],Y,None,N,,,,,,,F,22,
2,4,34,11,11,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
2,5,35,11,11,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
2,6,36,3,3,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
2,7,37,4,4,1,['d'],N,['k'],N,None,Y,,,,,,,F,22,
2,8,38,7,7,1,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
2,9,39,14,14,1,['d'],N,['k'],Y,None,N,,,,,,,F,22,
2,10,40,13,13,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
2,11,41,1,1,1,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
2,12,42,3,3,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
2,13,43,12,12,1,['d'],N,['k'],N,None,Y,,,,,,,F,22,
2,14,44,1,1,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
3,0,45,6,6,1,['d'],N,['k'],N,None,Y,,,,,,,F,22,
3,1,46,5,5,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
3,2,47,4,4,1,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
3,3,48,11,11,1,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
3,4,49,3,3,1,['k'],N,['d'],N,None,Y,28,27,25,,,,F,22,
3,5,50,4,4,2,['k'],N,['d'],,,,,,,,,,F,22,
3,6,51,9,9,2,['k'],N,['d'],,,,,,,,,,F,22,
3,7,52,4,4,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
3,8,53,7,7,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
3,9,54,3,3,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
3,10,55,8,8,2,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
3,11,56,6,6,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
3,12,57,5,5,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
3,13,58,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
3,14,59,8,8,2,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
4,0,60,12,12,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
4,1,61,7,7,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
4,2,62,5,5,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
4,3,63,10,10,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
4,4,64,11,11,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
4,5,65,9,9,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
4,6,66,13,13,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
4,7,67,2,2,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
4,8,68,12,12,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
4,9,69,13,13,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
4,10,70,13,13,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
4,11,71,6,6,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
4,12,72,0,0,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
4,13,73,1,1,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
4,14,74,5,5,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
5,0,75,4,4,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,1,76,6,6,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,2,77,8,8,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
5,3,78,0,0,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
5,4,79,1,1,2,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
5,5,80,1,1,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
5,6,81,14,14,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
5,7,82,8,8,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
5,8,83,0,0,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,9,84,11,11,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
5,10,85,0,0,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,11,86,5,5,2,['k'],N,['d'],N,None,Y,,,,,,,F,22,
5,12,87,14,14,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
5,13,88,13,13,2,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
5,14,89,13,13,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
6,0,90,12,12,2,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
6,1,91,3,3,2,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
6,2,92,14,14,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
6,3,93,10,10,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
6,4,94,13,13,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
6,5,95,8,8,2,['d'],N,['k'],Y,None,N,,,,,,,F,22,
6,6,96,0,0,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
6,7,97,13,13,2,['k'],N,['d'],Y,None,N,,,,,,,F,22,
6,8,98,0,0,2,['d'],N,['k'],N,None,Y,,,,,,,F,22,
6,9,99,3,3,2,['k'],N,['d'],N,None,Y,23,25,24,,,,F,22,
6,10,100,7,7,3,['k'],Y,['k'],,,,,,,,,,F,22,
6,11,101,5,5,3,['k'],N,['d'],,,,,,,,,,F,22,
6,12,102,7,7,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
6,13,103,9,9,3,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
6,14,104,8,8,3,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
