.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,6,6,1,['d'],['d'],Y,,,,,,,,,,female,20,
0,1,1,9,9,1,['d'],['d'],Y,,,,,,,,,,female,20,
0,2,2,6,6,1,['d'],['d'],Y,N,['k'],N,,,,,,,female,20,
0,3,3,6,6,1,['d'],['d'],Y,N,['space'],N,,,,,,,female,20,
0,4,4,0,0,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
0,5,5,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
0,6,6,4,4,1,['d'],['d'],Y,Y,None,N,,,,,,,female,20,
0,7,7,10,10,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
0,8,8,4,4,1,['d'],['k'],N,N,None,Y,,,,,,,female,20,
0,9,9,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
0,10,10,6,6,1,['d'],['d'],Y,Y,None,N,,,,,,,female,20,
1,0,11,0,0,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
1,1,12,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
1,2,13,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
1,3,14,0,0,1,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
1,4,15,8,8,1,['d'],['d'],Y,N,['space'],N,,,,,,,female,20,
1,5,16,9,9,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
1,6,17,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
1,7,18,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
1,8,19,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
1,9,20,2,2,1,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
1,10,21,2,2,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
2,0,22,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
2,1,23,8,8,1,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
2,2,24,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
2,3,25,2,2,1,['k'],['d'],N,Y,None,N,,,,,,,female,20,
2,4,26,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
2,5,27,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
2,6,28,5,5,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
2,7,29,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
2,8,30,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
2,9,31,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
2,10,32,0,0,1,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
3,0,33,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
3,1,34,2,2,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
3,2,35,5,5,1,['k'],['d'],N,Y,None,N,,,,,,,female,20,
3,3,36,4,4,1,['d'],['k'],N,N,None,Y,,,,,,,female,20,
3,4,37,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
3,5,38,6,6,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
3,6,39,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,female,20,
3,7,40,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
3,8,41,9,9,1,['d'],['k'],N,N,None,Y,,,,,,,female,20,
3,9,42,10,10,1,['d'],['k'],N,N,None,Y,,,,,,,female,20,
3,10,43,0,0,1,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
4,0,44,2,2,1,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
4,1,45,10,10,1,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
4,2,46,10,10,1,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
4,3,47,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
4,4,48,8,8,1,['d'],['k'],N,N,None,Y,,,,,,,female,20,
4,5,49,1,1,1,['d'],['k'],N,Y,None,N,27,40,21,,,,female,20,
4,6,50,9,9,2,['d'],['k'],N,,,,,,,,,,female,20,
4,7,51,4,4,2,['k'],['d'],N,,,,,,,,,,female,20,
4,8,52,3,3,2,['d'],['k'],N,Y,['d'],N,,,,,,,female,20,
4,9,53,0,0,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
4,10,54,7,7,2,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
5,0,55,2,2,2,['d'],['k'],N,N,None,Y,,,,,,,female,20,
5,1,56,3,3,2,['d'],['k'],N,N,None,Y,,,,,,,female,20,
5,2,57,10,10,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
5,3,58,3,3,2,['d'],['k'],N,N,None,Y,,,,,,,female,20,
5,4,59,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
5,5,60,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
5,6,61,2,2,2,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
5,7,62,5,5,2,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
5,8,63,4,4,2,['k'],['d'],N,N,['space'],N,,,,,,,female,20,
5,9,64,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
5,10,65,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
6,0,66,1,1,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
6,1,67,8,8,2,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
6,2,68,1,1,2,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
6,3,69,0,0,2,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
6,4,70,2,2,2,['k'],['d'],N,N,None,Y,,,,,,,female,20,
6,5,71,8,8,2,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
6,6,72,8,8,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
6,7,73,8,8,2,['k'],['k'],Y,Y,None,N,,,,,,,female,20,
6,8,74,7,7,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
6,9,75,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
6,10,76,4,4,2,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
7,0,77,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
7,1,78,3,3,2,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
7,2,79,3,3,2,['d'],['k'],N,Y,None,N,,,,,,,female,20,
7,3,80,8,8,2,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
7,4,81,3,3,2,['d'],['d'],Y,N,['space'],N,,,,,,,female,20,
7,5,82,6,6,2,['k'],['d'],N,N,None,Y,,,,,,,female,20,
7,6,83,2,2,2,['d'],['k'],N,N,None,Y,,,,,,,female,20,
7,7,84,5,5,2,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
7,8,85,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
7,9,86,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
7,10,87,4,4,2,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
8,0,88,10,10,2,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
8,1,89,7,7,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
8,2,90,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
8,3,91,4,4,2,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
8,4,92,3,3,2,['d'],['k'],N,Y,['d'],N,,,,,,,female,20,
8,5,93,0,0,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
8,6,94,3,3,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
8,7,95,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
8,8,96,10,10,2,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
8,9,97,2,2,2,['k'],['d'],N,Y,None,N,,,,,,,female,20,
8,10,98,3,3,2,['d'],['k'],N,N,None,Y,,,,,,,female,20,
9,0,99,7,7,2,['d'],['d'],Y,Y,None,N,25,40,25,,,,female,20,
9,1,100,2,2,3,['d'],['k'],N,,,,,,,,,,female,20,
9,2,101,0,0,3,['k'],['k'],Y,,,,,,,,,,female,20,
9,3,102,0,0,3,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
9,4,103,4,4,3,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
9,5,104,0,0,3,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
9,6,105,7,7,3,['d'],['k'],N,N,None,Y,,,,,,,female,20,
9,7,106,7,7,3,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
9,8,107,7,7,3,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
9,9,108,2,2,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
9,10,109,4,4,3,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
10,0,110,1,1,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
10,1,111,6,6,3,['d'],['k'],N,N,None,Y,,,,,,,female,20,
10,2,112,3,3,3,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
10,3,113,2,2,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
10,4,114,2,2,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
10,5,115,10,10,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
10,6,116,6,6,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
10,7,117,2,2,3,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
10,8,118,4,4,3,['d'],['k'],N,N,None,Y,,,,,,,female,20,
10,9,119,9,9,3,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
10,10,120,3,3,3,['d'],['k'],N,N,None,Y,,,,,,,female,20,
11,0,121,1,1,3,['k'],['k'],Y,Y,None,N,,,,,,,female,20,
11,1,122,7,7,3,['d'],['k'],N,Y,None,N,,,,,,,female,20,
11,2,123,6,6,3,['k'],['d'],N,N,['space'],N,,,,,,,female,20,
11,3,124,4,4,3,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
11,4,125,7,7,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
11,5,126,5,5,3,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
11,6,127,8,8,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
11,7,128,7,7,3,['d'],['k'],N,N,None,Y,,,,,,,female,20,
11,8,129,1,1,3,['d'],['k'],N,N,None,Y,,,,,,,female,20,
11,9,130,3,3,3,['k'],['k'],Y,Y,None,N,,,,,,,female,20,
11,10,131,6,6,3,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
12,0,132,5,5,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
12,1,133,6,6,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
12,2,134,4,4,3,['d'],['d'],Y,Y,None,N,,,,,,,female,20,
12,3,135,6,6,3,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
12,4,136,3,3,3,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
12,5,137,4,4,3,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
12,6,138,4,4,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
12,7,139,9,9,3,['k'],['d'],N,N,None,Y,,,,,,,female,20,
12,8,140,10,10,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
12,9,141,6,6,3,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
12,10,142,0,0,3,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
13,0,143,0,0,3,['d'],['d'],Y,Y,None,N,,,,,,,female,20,
13,1,144,2,2,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
13,2,145,1,1,3,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
13,3,146,9,9,3,['k'],['k'],Y,N,['space'],N,,,,,,,female,20,
13,4,147,3,3,3,['d'],['k'],N,N,['space'],N,,,,,,,female,20,
13,5,148,6,6,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
13,6,149,4,4,3,['d'],['d'],Y,Y,['space'],Y,23,40,24,,,,female,20,
13,7,150,2,2,4,['k'],['k'],Y,,,,,,,,,,female,20,
13,8,151,7,7,4,['d'],['d'],Y,,,,,,,,,,female,20,
13,9,152,10,10,4,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
13,10,153,1,1,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
14,0,154,7,7,4,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
14,1,155,9,9,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
14,2,156,4,4,4,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
14,3,157,1,1,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
14,4,158,8,8,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
14,5,159,7,7,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
14,6,160,9,9,4,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
14,7,161,8,8,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
14,8,162,0,0,4,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
14,9,163,5,5,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
14,10,164,8,8,4,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
15,0,165,1,1,4,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
15,1,166,8,8,4,['d'],['k'],N,Y,None,N,,,,,,,female,20,
15,2,167,4,4,4,['k'],['k'],Y,Y,None,N,,,,,,,female,20,
15,3,168,7,7,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
15,4,169,10,10,4,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
15,5,170,4,4,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
15,6,171,10,10,4,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
15,7,172,5,5,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
15,8,173,7,7,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
15,9,174,7,7,4,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
15,10,175,4,4,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
16,0,176,1,1,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
16,1,177,2,2,4,['k'],['d'],N,Y,None,N,,,,,,,female,20,
16,2,178,3,3,4,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
16,3,179,1,1,4,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
16,4,180,2,2,4,['k'],['k'],Y,N,None,Y,,,,,,,female,20,
16,5,181,7,7,4,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
16,6,182,9,9,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
16,7,183,5,5,4,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
16,8,184,9,9,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
16,9,185,6,6,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
16,10,186,10,10,4,['k'],['k'],Y,Y,None,N,,,,,,,female,20,
17,0,187,9,9,4,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
17,1,188,10,10,4,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
17,2,189,8,8,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
17,3,190,9,9,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
17,4,191,1,1,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
17,5,192,10,10,4,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
17,6,193,0,0,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
17,7,194,1,1,4,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
17,8,195,1,1,4,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
17,9,196,4,4,4,['d'],['k'],N,N,None,Y,,,,,,,female,20,
17,10,197,7,7,4,['k'],['d'],N,N,None,Y,,,,,,,female,20,
18,0,198,4,4,4,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
18,1,199,8,8,4,['k'],['k'],Y,Y,None,N,24,43,23,,,,female,20,
18,2,200,2,2,5,['k'],['k'],Y,,,,,,,,,,female,20,
18,3,201,6,6,5,['d'],['d'],Y,,,,,,,,,,female,20,
18,4,202,4,4,5,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
18,5,203,10,10,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
18,6,204,0,0,5,['k'],['d'],N,Y,['space'],Y,,,,,,,female,20,
18,7,205,7,7,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
18,8,206,5,5,5,['k'],['d'],N,N,None,Y,,,,,,,female,20,
18,9,207,9,9,5,['k'],['k'],Y,Y,None,N,,,,,,,female,20,
18,10,208,2,2,5,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
19,0,209,3,3,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
19,1,210,10,10,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,female,20,
19,2,211,10,10,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,female,20,
19,3,212,0,0,5,['d'],['d'],Y,N,None,Y,,,,,,,female,20,
19,4,213,6,6,5,['d'],['k'],N,Y,['space'],Y,,,,,,,female,20,
19,5,214,6,6,5,['d'],['k'],N,N,['space'],N,,,,,,,female,20,
