.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
0,0,0,8,8,1,['d'],['k'],N,,,,,,,,,,F,19
0,1,1,7,7,1,['d'],['k'],N,,,,,,,,,,F,19
0,2,2,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
0,3,3,4,4,1,['d'],['k'],N,N,None,Y,,,,,,,F,19
0,4,4,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19
0,5,5,1,1,1,['k'],['d'],N,N,None,Y,,,,,,,F,19
0,6,6,1,1,1,['d'],['k'],N,N,['space'],N,,,,,,,F,19
0,7,7,4,4,1,['k'],['d'],N,N,['space'],N,,,,,,,F,19
0,8,8,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19
0,9,9,6,6,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
0,10,10,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,F,19
1,0,11,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
1,1,12,0,0,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
1,2,13,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
1,3,14,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19
1,4,15,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,19
1,5,16,6,6,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19
1,6,17,7,7,1,['k'],['d'],N,Y,None,N,,,,,,,F,19
1,7,18,6,6,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
1,8,19,7,7,1,['k'],['d'],N,N,['space'],N,,,,,,,F,19
1,9,20,5,5,1,['d'],['k'],N,N,['space'],N,,,,,,,F,19
1,10,21,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,19
2,0,22,4,4,1,['k'],['d'],N,Y,None,N,,,,,,,F,19
2,1,23,9,9,1,['d'],['d'],Y,Y,None,N,,,,,,,F,19
