.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,2,2,1,None,Timed out,,,,,,,,,,,F,21,
0,1,1,2,2,1,None,Timed out,,,,,,,,,,,F,21,
0,2,2,1,1,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
0,3,3,1,1,1,['d'],N,N,None,Y,['k'],,,,,,,F,21,
0,4,4,5,5,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
0,5,5,7,7,1,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
0,6,6,8,8,1,['k'],N,N,None,Y,['d'],,,,,,,F,21,
0,7,7,2,2,1,['d'],N,N,['space'],N,['k'],,,,,,,F,21,
0,8,8,0,0,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
0,9,9,5,5,1,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
0,10,10,8,8,1,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
1,0,11,7,7,1,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
1,1,12,7,7,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
1,2,13,9,9,1,['k'],N,N,None,Y,['d'],,,,,,,F,21,
1,3,14,8,8,1,['d'],Y,N,['space'],N,['d'],,,,,,,F,21,
1,4,15,1,1,1,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
1,5,16,4,4,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
1,6,17,7,7,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
1,7,18,8,8,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
1,8,19,6,6,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
1,9,20,2,2,1,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
1,10,21,0,0,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
2,0,22,9,9,1,['k'],Y,N,['space'],N,['k'],,,,,,,F,21,
2,1,23,6,6,1,['d'],N,Y,None,N,['k'],,,,,,,F,21,
2,2,24,10,10,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
2,3,25,0,0,1,['k'],N,N,None,Y,['d'],,,,,,,F,21,
2,4,26,0,0,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
2,5,27,1,1,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
2,6,28,2,2,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
2,7,29,0,0,1,['d'],N,N,None,Y,['k'],,,,,,,F,21,
2,8,30,3,3,1,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
2,9,31,9,9,1,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
2,10,32,4,4,1,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
3,0,33,2,2,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
3,1,34,8,8,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
3,2,35,0,0,1,['d'],N,N,None,Y,['k'],,,,,,,F,21,
3,3,36,4,4,1,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
3,4,37,3,3,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
3,5,38,2,2,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
3,6,39,10,10,1,['k'],N,N,None,Y,['d'],,,,,,,F,21,
3,7,40,3,3,1,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
3,8,41,9,9,1,['d'],N,N,None,Y,['k'],,,,,,,F,21,
3,9,42,9,9,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
3,10,43,7,7,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
4,0,44,3,3,1,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
4,1,45,2,2,1,['k'],N,N,None,Y,['d'],,,,,,,F,21,
4,2,46,2,2,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
4,3,47,1,1,1,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
4,4,48,0,0,1,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
4,5,49,5,5,1,['k'],N,N,None,Y,['d'],29,43,25,,,,F,21,
4,6,50,8,8,2,['k'],Y,,,,['k'],,,,,,,F,21,
4,7,51,1,1,2,['k'],N,,,,['d'],,,,,,,F,21,
4,8,52,3,3,2,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
4,9,53,4,4,2,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
4,10,54,9,9,2,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
5,0,55,7,7,2,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
