.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,6,6,1,None,Timed out,,,,,,,,,,,f,22,
0,1,1,9,9,1,['d'],Y,['d'],,,,,,,,,,f,22,
0,2,2,9,9,1,['k'],N,['d'],N,None,Y,,,,,,,f,22,
0,3,3,4,4,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
0,4,4,0,0,1,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
0,5,5,5,5,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
0,6,6,7,7,1,['k'],N,['d'],Y,['space'],Y,,,,,,,f,22,
0,7,7,8,8,1,['k'],N,['d'],N,None,Y,,,,,,,f,22,
0,8,8,6,6,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
0,9,9,6,6,1,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
0,10,10,2,2,1,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
1,0,11,10,10,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
1,1,12,2,2,1,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
1,2,13,1,1,1,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
1,3,14,3,3,1,None,Timed out,,Y,None,N,,,,,,,f,22,
1,4,15,8,8,1,['k'],N,['d'],N,None,Y,,,,,,,f,22,
1,5,16,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
1,6,17,2,2,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
1,7,18,6,6,1,['d'],N,['k'],Y,None,N,,,,,,,f,22,
1,8,19,9,9,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
1,9,20,3,3,1,['k'],N,['d'],N,None,Y,,,,,,,f,22,
1,10,21,8,8,1,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
2,0,22,0,0,1,['d'],N,['k'],Y,['space'],Y,,,,,,,f,22,
2,1,23,2,2,1,['d'],N,['k'],N,['space'],N,,,,,,,f,22,
2,2,24,1,1,1,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
2,3,25,5,5,1,['d'],N,['k'],Y,['space'],Y,,,,,,,f,22,
2,4,26,9,9,1,['k'],N,['d'],N,['space'],N,,,,,,,f,22,
2,5,27,9,9,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
2,6,28,9,9,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
2,7,29,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
2,8,30,10,10,1,['d'],N,['k'],Y,None,N,,,,,,,f,22,
2,9,31,6,6,1,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
2,10,32,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
3,0,33,2,2,1,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
3,1,34,2,2,1,['d'],N,['k'],N,None,Y,,,,,,,f,22,
3,2,35,2,2,1,['k'],N,['d'],Y,['space'],Y,,,,,,,f,22,
3,3,36,6,6,1,['d'],N,['k'],N,None,Y,,,,,,,f,22,
3,4,37,9,9,1,['d'],N,['k'],N,None,Y,,,,,,,f,22,
3,5,38,1,1,1,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
3,6,39,9,9,1,['d'],Y,['d'],Y,None,N,,,,,,,f,22,
3,7,40,0,0,1,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
3,8,41,6,6,1,['k'],N,['d'],N,None,Y,,,,,,,f,22,
