.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,2,2,1,['k'],['d'],N,,,,,,,,,,Male,20,
0,1,1,4,4,1,['k'],['d'],N,,,,,,,,,,Male,20,
0,2,2,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,Male,20,
0,3,3,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,Male,20,
0,4,4,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
0,5,5,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,Male,20,
0,6,6,6,6,1,['k'],['k'],Y,N,['d'],N,,,,,,,Male,20,
0,7,7,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,Male,20,
0,8,8,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,Male,20,
0,9,9,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,Male,20,
0,10,10,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,Male,20,
1,0,11,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,Male,20,
1,1,12,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,Male,20,
1,2,13,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
1,3,14,4,4,1,['d'],['d'],Y,Y,None,N,,,,,,,Male,20,
1,4,15,4,4,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,Male,20,
1,5,16,1,1,1,['k'],['d'],N,N,['space'],N,,,,,,,Male,20,
1,6,17,1,1,1,['d'],['d'],Y,Y,None,N,,,,,,,Male,20,
1,7,18,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
1,8,19,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,Male,20,
1,9,20,8,8,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,Male,20,
1,10,21,2,2,1,['d'],['k'],N,N,None,Y,,,,,,,Male,20,
2,0,22,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,Male,20,
2,1,23,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
2,2,24,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,Male,20,
2,3,25,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,Male,20,
2,4,26,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
2,5,27,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
2,6,28,6,6,1,['k'],['d'],N,Y,['space'],Y,,,,,,,Male,20,
2,7,29,2,2,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,Male,20,
2,8,30,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,Male,20,
2,9,31,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,Male,20,
