.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,0,0,1,None,Timed out,,,,,,,,,,,female,20,
0,1,1,4,4,1,['d'],N,['k'],,,,,,,,,,female,20,
0,2,2,11,11,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
0,3,3,4,4,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
0,4,4,1,1,1,['k'],N,['d'],N,None,Y,,,,,,,female,20,
0,5,5,2,2,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
0,6,6,6,6,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
0,7,7,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
0,8,8,10,10,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
0,9,9,2,2,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
0,10,10,7,7,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
0,11,11,7,7,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
0,12,12,10,10,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
0,13,13,12,12,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
0,14,14,9,9,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
1,0,15,5,5,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
1,1,16,8,8,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
1,2,17,0,0,1,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
1,3,18,6,6,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
1,4,19,12,12,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
1,5,20,8,8,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
1,6,21,0,0,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
1,7,22,2,2,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
1,8,23,0,0,1,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
1,9,24,4,4,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
1,10,25,6,6,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
1,11,26,3,3,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
1,12,27,4,4,1,['d'],Y,['d'],N,['space'],N,,,,,,,female,20,
1,13,28,6,6,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
1,14,29,11,11,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
2,0,30,9,9,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
2,1,31,5,5,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
2,2,32,4,4,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
2,3,33,8,8,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
2,4,34,2,2,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
2,5,35,14,14,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
2,6,36,5,5,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
2,7,37,5,5,1,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
2,8,38,9,9,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
2,9,39,13,13,1,['k'],Y,['k'],N,['space'],N,,,,,,,female,20,
2,10,40,11,11,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
2,11,41,11,11,1,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
2,12,42,4,4,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
2,13,43,7,7,1,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
2,14,44,5,5,1,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
3,0,45,2,2,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
3,1,46,8,8,1,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
3,2,47,2,2,1,['d'],Y,['d'],N,['space'],N,,,,,,,female,20,
3,3,48,8,8,1,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
3,4,49,4,4,1,['d'],Y,['d'],Y,['space'],Y,47,31,23,,,,female,20,
3,5,50,9,9,2,['k'],Y,['k'],,,,,,,,,,female,20,
3,6,51,12,12,2,['d'],Y,['d'],,,,,,,,,,female,20,
3,7,52,2,2,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
3,8,53,9,9,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
3,9,54,7,7,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
3,10,55,12,12,2,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
3,11,56,2,2,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
3,12,57,14,14,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
3,13,58,10,10,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
3,14,59,12,12,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
4,0,60,5,5,2,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
4,1,61,3,3,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
4,2,62,7,7,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
4,3,63,12,12,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
4,4,64,5,5,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
4,5,65,8,8,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
4,6,66,14,14,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
4,7,67,6,6,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
4,8,68,10,10,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
4,9,69,1,1,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
4,10,70,10,10,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
4,11,71,7,7,2,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
4,12,72,13,13,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
4,13,73,1,1,2,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
4,14,74,6,6,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,0,75,9,9,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,1,76,11,11,2,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
5,2,77,5,5,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
5,3,78,8,8,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
5,4,79,13,13,2,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
5,5,80,4,4,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
