.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,11,11,1,None,Timed out,,,,,,,,,,,F,20,
0,1,1,3,3,1,None,Timed out,,,,,,,,,,,F,20,
0,2,2,3,3,1,None,Timed out,N,None,Y,,,,,,,,F,20,
0,3,3,7,7,1,None,Timed out,N,None,Y,,,,,,,,F,20,
0,4,4,0,0,1,None,Timed out,Y,['space'],Y,,,,,,,,F,20,
0,5,5,11,11,1,None,Timed out,Y,['d'],N,,,,,,,,F,20,
0,6,6,7,7,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
0,7,7,14,14,1,None,Timed out,N,None,Y,,,,,,,,F,20,
0,8,8,6,6,1,['d'],N,N,None,Y,['k'],,,,,,,F,20,
0,9,9,4,4,1,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
0,10,10,10,10,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
0,11,11,5,5,1,['d'],N,N,None,Y,['k'],,,,,,,F,20,
0,12,12,4,4,1,None,Timed out,N,None,Y,,,,,,,,F,20,
0,13,13,4,4,1,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
0,14,14,4,4,1,None,Timed out,N,None,Y,,,,,,,,F,20,
1,0,15,7,7,1,None,Timed out,N,None,Y,,,,,,,,F,20,
1,1,16,4,4,1,['k'],N,Y,['k'],N,['d'],,,,,,,F,20,
1,2,17,7,7,1,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
1,3,18,1,1,1,['d'],N,Y,None,N,['k'],,,,,,,F,20,
1,4,19,1,1,1,['k'],N,Y,None,N,['d'],,,,,,,F,20,
1,5,20,4,4,1,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
1,6,21,13,13,1,['d'],N,N,None,Y,['k'],,,,,,,F,20,
1,7,22,6,6,1,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
1,8,23,12,12,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
1,9,24,14,14,1,['d'],N,N,None,Y,['k'],,,,,,,F,20,
1,10,25,1,1,1,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
1,11,26,6,6,1,['k'],N,N,['k'],N,['d'],,,,,,,F,20,
1,12,27,11,11,1,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
1,13,28,13,13,1,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
1,14,29,1,1,1,['d'],N,Y,None,N,['k'],,,,,,,F,20,
2,0,30,10,10,1,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
2,1,31,0,0,1,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
2,2,32,10,10,1,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
2,3,33,13,13,1,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
2,4,34,0,0,1,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
2,5,35,11,11,1,['d'],N,Y,None,N,['k'],,,,,,,F,20,
2,6,36,13,13,1,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
2,7,37,6,6,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
2,8,38,14,14,1,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
2,9,39,0,0,1,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
2,10,40,4,4,1,['d'],N,N,None,Y,['k'],,,,,,,F,20,
2,11,41,13,13,1,['k'],N,Y,None,N,['d'],,,,,,,F,20,
2,12,42,13,13,1,['d'],N,Y,None,N,['k'],,,,,,,F,20,
2,13,43,6,6,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
2,14,44,3,3,1,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
3,0,45,3,3,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
3,1,46,12,12,1,['d'],N,N,['k'],N,['k'],,,,,,,F,20,
3,2,47,10,10,1,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
3,3,48,14,14,1,['k'],N,N,None,Y,['d'],,,,,,,F,20,
3,4,49,0,0,1,['d'],N,Y,None,N,['k'],18,27,20,,,,F,20,
3,5,50,5,5,2,['k'],Y,,,,['k'],,,,,,,F,20,
3,6,51,8,8,2,['k'],N,,,,['d'],,,,,,,F,20,
3,7,52,11,11,2,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
3,8,53,4,4,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
3,9,54,8,8,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
3,10,55,5,5,2,['d'],N,N,None,Y,['k'],,,,,,,F,20,
3,11,56,11,11,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
3,12,57,8,8,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
3,13,58,14,14,2,['k'],N,Y,None,N,['d'],,,,,,,F,20,
3,14,59,10,10,2,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
4,0,60,7,7,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
4,1,61,3,3,2,['d'],N,Y,None,N,['k'],,,,,,,F,20,
4,2,62,7,7,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
4,3,63,6,6,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
4,4,64,4,4,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
4,5,65,6,6,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
4,6,66,4,4,2,['k'],N,Y,None,N,['d'],,,,,,,F,20,
4,7,67,2,2,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
4,8,68,0,0,2,['k'],N,Y,None,N,['d'],,,,,,,F,20,
4,9,69,7,7,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
4,10,70,9,9,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
4,11,71,0,0,2,['d'],N,Y,None,N,['k'],,,,,,,F,20,
4,12,72,8,8,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
4,13,73,6,6,2,['d'],N,N,None,Y,['k'],,,,,,,F,20,
4,14,74,2,2,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
5,0,75,0,0,2,['k'],N,Y,None,N,['d'],,,,,,,F,20,
5,1,76,6,6,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,2,77,12,12,2,['d'],N,Y,None,N,['k'],,,,,,,F,20,
5,3,78,6,6,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
5,4,79,1,1,2,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
5,5,80,13,13,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
5,6,81,1,1,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,7,82,1,1,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,8,83,5,5,2,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
5,9,84,1,1,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
5,10,85,4,4,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,11,86,11,11,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
5,12,87,3,3,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
5,13,88,8,8,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
5,14,89,13,13,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
6,0,90,11,11,2,['d'],N,Y,None,N,['k'],,,,,,,F,20,
6,1,91,10,10,2,['k'],Y,N,['k'],N,['k'],,,,,,,F,20,
6,2,92,9,9,2,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
6,3,93,10,10,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
6,4,94,10,10,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
6,5,95,5,5,2,['d'],N,N,None,Y,['k'],,,,,,,F,20,
6,6,96,4,4,2,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
6,7,97,14,14,2,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
6,8,98,12,12,2,['k'],N,N,None,Y,['d'],,,,,,,F,20,
6,9,99,8,8,2,['d'],N,Y,None,N,['k'],27,26,21,,,,F,20,
6,10,100,10,10,3,['k'],N,,,,['d'],,,,,,,F,20,
6,11,101,14,14,3,['k'],N,,,,['d'],,,,,,,F,20,
6,12,102,7,7,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
6,13,103,9,9,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
6,14,104,7,7,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
7,0,105,12,12,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
7,1,106,6,6,3,['d'],N,N,None,Y,['k'],,,,,,,F,20,
7,2,107,13,13,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
7,3,108,7,7,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
7,4,109,6,6,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
7,5,110,1,1,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
7,6,111,9,9,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
7,7,112,13,13,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
7,8,113,12,12,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
7,9,114,0,0,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
7,10,115,2,2,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
7,11,116,12,12,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
7,12,117,13,13,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
7,13,118,0,0,3,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
7,14,119,4,4,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
8,0,120,12,12,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
8,1,121,5,5,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
8,2,122,6,6,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
8,3,123,10,10,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
8,4,124,9,9,3,['k'],N,Y,None,N,['d'],,,,,,,F,20,
8,5,125,11,11,3,['d'],N,N,None,Y,['k'],,,,,,,F,20,
8,6,126,9,9,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
8,7,127,2,2,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
8,8,128,0,0,3,['d'],N,Y,None,N,['k'],,,,,,,F,20,
8,9,129,9,9,3,None,Timed out,N,None,Y,,,,,,,,F,20,
8,10,130,11,11,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
8,11,131,14,14,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
8,12,132,1,1,3,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
8,13,133,9,9,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
8,14,134,10,10,3,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
9,0,135,4,4,3,['k'],N,N,None,Y,['d'],,,,,,,F,20,
9,1,136,4,4,3,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
