.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,6,6,1,['k'],['k'],Y,,,,,,,,,,F,18,
0,1,1,8,8,1,['k'],['d'],N,,,,,,,,,,F,18,
0,2,2,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
0,3,3,9,9,1,['d'],['k'],N,Y,None,N,,,,,,,F,18,
0,4,4,2,2,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
0,5,5,3,3,1,['k'],['d'],N,N,['space'],N,,,,,,,F,18,
0,6,6,2,2,1,['d'],['k'],N,Y,None,N,,,,,,,F,18,
0,7,7,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
0,8,8,8,8,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,18,
0,9,9,0,0,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
0,10,10,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
1,0,11,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
1,1,12,5,5,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,18,
1,2,13,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
1,3,14,8,8,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
1,4,15,0,0,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,18,
1,5,16,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
1,6,17,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
1,7,18,6,6,1,['d'],['k'],N,N,['space'],N,,,,,,,F,18,
1,8,19,2,2,1,['d'],['k'],N,Y,None,N,,,,,,,F,18,
1,9,20,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
1,10,21,4,4,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
2,0,22,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
2,1,23,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
2,2,24,3,3,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
2,3,25,7,7,1,['d'],['d'],Y,Y,None,N,,,,,,,F,18,
2,4,26,7,7,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
2,5,27,8,8,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
2,6,28,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
2,7,29,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
2,8,30,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
2,9,31,3,3,1,['d'],['k'],N,N,['space'],N,,,,,,,F,18,
2,10,32,2,2,1,['k'],['d'],N,Y,None,N,,,,,,,F,18,
3,0,33,10,10,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
3,1,34,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
3,2,35,9,9,1,['k'],['d'],N,Y,None,N,,,,,,,F,18,
3,3,36,2,2,1,['d'],['d'],Y,Y,None,N,,,,,,,F,18,
3,4,37,6,6,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
3,5,38,4,4,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
3,6,39,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
3,7,40,7,7,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
3,8,41,7,7,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,18,
3,9,42,3,3,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
3,10,43,6,6,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
4,0,44,1,1,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
4,1,45,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
4,2,46,6,6,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
4,3,47,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
4,4,48,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
4,5,49,1,1,1,['k'],['k'],Y,Y,['space'],Y,38,30,20,,,,F,18,
4,6,50,4,4,2,['d'],['d'],Y,,,,,,,,,,F,18,
4,7,51,4,4,2,['k'],['k'],Y,,,,,,,,,,F,18,
4,8,52,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
4,9,53,1,1,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
4,10,54,6,6,2,['k'],['d'],N,Y,['space'],Y,,,,,,,F,18,
5,0,55,8,8,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
5,1,56,0,0,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
5,2,57,4,4,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
5,3,58,9,9,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
5,4,59,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
5,5,60,2,2,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
5,6,61,0,0,2,['d'],['d'],Y,N,['space'],N,,,,,,,F,18,
5,7,62,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
5,8,63,4,4,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
5,9,64,10,10,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
5,10,65,2,2,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
6,0,66,2,2,2,['d'],['k'],N,N,None,Y,,,,,,,F,18,
6,1,67,10,10,2,['k'],['k'],Y,Y,['k'],N,,,,,,,F,18,
6,2,68,6,6,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
6,3,69,0,0,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
6,4,70,2,2,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
6,5,71,8,8,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
6,6,72,3,3,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
6,7,73,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
6,8,74,3,3,2,['d'],['d'],Y,Y,None,N,,,,,,,F,18,
6,9,75,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
6,10,76,7,7,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
7,0,77,8,8,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
7,1,78,1,1,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
7,2,79,9,9,2,['d'],['k'],N,N,None,Y,,,,,,,F,18,
7,3,80,6,6,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
7,4,81,9,9,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
7,5,82,3,3,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
7,6,83,6,6,2,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
7,7,84,0,0,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
7,8,85,10,10,2,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
7,9,86,1,1,2,['d'],['d'],Y,Y,['k'],N,,,,,,,F,18,
7,10,87,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
8,0,88,0,0,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
8,1,89,10,10,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
8,2,90,8,8,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
8,3,91,2,2,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
