.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,2,2,1,['d'],['d'],Y,,,,,,,,,,F,21,
0,1,1,8,8,1,['d'],['k'],N,,,,,,,,,,F,21,
0,2,2,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,F,21,
0,3,3,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,21,
0,4,4,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
0,5,5,9,9,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
0,6,6,0,0,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
0,7,7,6,6,1,['d'],['k'],N,Y,None,N,,,,,,,F,21,
0,8,8,2,2,1,['k'],['k'],Y,Y,None,N,,,,,,,F,21,
0,9,9,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
0,10,10,7,7,1,['k'],['k'],Y,Y,None,N,,,,,,,F,21,
1,0,11,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
1,1,12,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
1,2,13,2,2,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
1,3,14,9,9,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
1,4,15,1,1,1,['k'],['k'],Y,Y,None,N,,,,,,,F,21,
1,5,16,8,8,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
1,6,17,8,8,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
1,7,18,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
1,8,19,3,3,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
1,9,20,0,0,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
1,10,21,8,8,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,21,
2,0,22,10,10,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
2,1,23,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
2,2,24,0,0,1,['d'],['k'],N,N,None,Y,,,,,,,F,21,
2,3,25,2,2,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
2,4,26,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
2,5,27,6,6,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
2,6,28,2,2,1,['d'],['k'],N,Y,None,N,,,,,,,F,21,
2,7,29,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
2,8,30,1,1,1,['d'],['k'],N,N,None,Y,,,,,,,F,21,
2,9,31,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
2,10,32,5,5,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
3,0,33,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
3,1,34,4,4,1,['k'],['k'],Y,Y,None,N,,,,,,,F,21,
3,2,35,9,9,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
3,3,36,6,6,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,21,
3,4,37,0,0,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
3,5,38,0,0,1,['d'],['d'],Y,Y,None,N,,,,,,,F,21,
3,6,39,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
3,7,40,7,7,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,21,
3,8,41,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
3,9,42,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
3,10,43,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,F,21,
4,0,44,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
4,1,45,3,3,1,['d'],['k'],N,N,None,Y,,,,,,,F,21,
4,2,46,2,2,1,['d'],['k'],N,N,None,Y,,,,,,,F,21,
4,3,47,3,3,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
4,4,48,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
4,5,49,3,3,1,['k'],['d'],N,N,None,Y,26,27,25,,,,F,21,
4,6,50,4,4,2,['d'],['k'],N,,,,,,,,,,F,21,
4,7,51,3,3,2,['k'],['d'],N,,,,,,,,,,F,21,
4,8,52,10,10,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
4,9,53,5,5,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
4,10,54,7,7,2,['d'],['k'],N,Y,['space'],Y,,,,,,,F,21,
5,0,55,10,10,2,['k'],['d'],N,N,None,Y,,,,,,,F,21,
5,1,56,8,8,2,['d'],['k'],N,N,None,Y,,,,,,,F,21,
5,2,57,1,1,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
5,3,58,6,6,2,['k'],['d'],N,N,None,Y,,,,,,,F,21,
5,4,59,1,1,2,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
5,5,60,8,8,2,['d'],['k'],N,Y,['space'],Y,,,,,,,F,21,
5,6,61,9,9,2,['k'],['d'],N,N,None,Y,,,,,,,F,21,
5,7,62,2,2,2,['k'],['d'],N,N,None,Y,,,,,,,F,21,
5,8,63,6,6,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,21,
5,9,64,7,7,2,['k'],['k'],Y,Y,None,N,,,,,,,F,21,
5,10,65,2,2,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
6,0,66,0,0,2,['d'],['k'],N,N,None,Y,,,,,,,F,21,
