.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,0,0,1,['k'],['k'],Y,,,,,,,,,,F,18,
0,1,1,6,6,1,['d'],['d'],Y,,,,,,,,,,F,18,
0,2,2,1,1,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
0,3,3,5,5,1,['d'],['k'],N,N,None,Y,,,,,,,F,18,
0,4,4,6,6,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
0,5,5,8,8,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,18,
0,6,6,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
0,7,7,8,8,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
0,8,8,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,18,
0,9,9,14,14,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
0,10,10,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
0,11,11,12,12,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
0,12,12,6,6,1,['d'],['k'],N,N,None,Y,,,,,,,F,18,
0,13,13,14,14,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
0,14,14,8,8,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,18,
1,0,15,0,0,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
1,1,16,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
1,2,17,5,5,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,18,
1,3,18,12,12,1,['d'],['d'],Y,Y,None,N,,,,,,,F,18,
1,4,19,14,14,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
1,5,20,6,6,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,18,
1,6,21,10,10,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
1,7,22,0,0,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
1,8,23,12,12,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
1,9,24,6,6,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
1,10,25,3,3,1,['d'],['k'],N,N,None,Y,,,,,,,F,18,
1,11,26,11,11,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
1,12,27,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
1,13,28,6,6,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
1,14,29,2,2,1,['d'],['k'],N,N,['space'],N,,,,,,,F,18,
2,0,30,6,6,1,['d'],['k'],N,Y,None,N,,,,,,,F,18,
2,1,31,7,7,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
2,2,32,9,9,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
2,3,33,8,8,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
2,4,34,13,13,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
2,5,35,8,8,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
2,6,36,7,7,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
2,7,37,6,6,1,['d'],['k'],N,Y,None,N,,,,,,,F,18,
2,8,38,3,3,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
2,9,39,4,4,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
2,10,40,9,9,1,['d'],['k'],N,N,None,Y,,,,,,,F,18,
2,11,41,1,1,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,18,
2,12,42,14,14,1,['d'],['d'],Y,Y,None,N,,,,,,,F,18,
2,13,43,0,0,1,['k'],['k'],Y,Y,None,N,,,,,,,F,18,
2,14,44,2,2,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
3,0,45,11,11,1,['d'],['k'],N,Y,None,N,,,,,,,F,18,
3,1,46,9,9,1,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
3,2,47,10,10,1,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
3,3,48,1,1,1,['k'],['d'],N,N,None,Y,,,,,,,F,18,
3,4,49,3,3,1,['k'],['k'],Y,Y,None,N,32,32,23,,,,F,18,
3,5,50,12,12,2,['d'],['d'],Y,,,,,,,,,,F,18,
3,6,51,12,12,2,['k'],['d'],N,,,,,,,,,,F,18,
3,7,52,9,9,2,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
3,8,53,5,5,2,['d'],['k'],N,Y,None,N,,,,,,,F,18,
3,9,54,0,0,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
3,10,55,6,6,2,['d'],['k'],N,N,None,Y,,,,,,,F,18,
3,11,56,3,3,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
3,12,57,1,1,2,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
3,13,58,4,4,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
3,14,59,10,10,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
4,0,60,14,14,2,['d'],['k'],N,Y,None,N,,,,,,,F,18,
4,1,61,1,1,2,['k'],['d'],N,Y,['space'],Y,,,,,,,F,18,
4,2,62,5,5,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
4,3,63,1,1,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
4,4,64,2,2,2,['k'],['k'],Y,N,['space'],N,,,,,,,F,18,
4,5,65,1,1,2,['d'],['k'],N,N,None,Y,,,,,,,F,18,
4,6,66,3,3,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
4,7,67,4,4,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
4,8,68,12,12,2,['d'],['k'],N,Y,None,N,,,,,,,F,18,
4,9,69,14,14,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
4,10,70,5,5,2,['d'],['d'],Y,Y,None,N,,,,,,,F,18,
4,11,71,14,14,2,['k'],['d'],N,N,['space'],N,,,,,,,F,18,
4,12,72,0,0,2,['d'],['k'],N,Y,['space'],Y,,,,,,,F,18,
4,13,73,3,3,2,['k'],['d'],N,N,None,Y,,,,,,,F,18,
4,14,74,5,5,2,['d'],['k'],N,N,None,Y,,,,,,,F,18,
5,0,75,14,14,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
5,1,76,1,1,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
5,2,77,11,11,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
5,3,78,13,13,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
5,4,79,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
5,5,80,5,5,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
5,6,81,13,13,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,18,
5,7,82,2,2,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,18,
5,8,83,11,11,2,['k'],['k'],Y,N,None,Y,,,,,,,F,18,
5,9,84,8,8,2,['d'],['k'],N,Y,['space'],Y,,,,,,,F,18,
5,10,85,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,F,18,
