.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,gender,age,
0,0,0,10,10,1,None,Timed out,,,,,F,21,
0,1,1,7,7,1,None,Timed out,,,,,F,21,
0,2,2,12,12,1,None,Timed out,N,None,Y,,F,21,
0,3,3,5,5,1,None,Timed out,Y,['space'],Y,,F,21,
0,4,4,3,3,1,None,Timed out,Y,None,N,,F,21,
0,5,5,10,10,1,None,Timed out,N,['space'],N,,F,21,
0,6,6,4,4,1,None,Timed out,N,['d'],N,,F,21,
0,7,7,1,1,1,None,Timed out,N,['space'],N,,F,21,
0,8,8,7,7,1,None,Timed out,N,None,Y,,F,21,
0,9,9,14,14,1,None,Timed out,Y,None,N,,F,21,
0,10,10,7,7,1,['d'],N,Y,None,N,['k'],F,21,
0,11,11,6,6,1,['k'],N,N,None,Y,['d'],F,21,
0,12,12,2,2,1,['d'],Y,N,None,Y,['d'],F,21,
