.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,gender,age,
0,0,0,10,10,1,['k'],['k'],Y,,,,female,19,
0,1,1,5,5,1,['d'],['d'],Y,,,,female,19,
0,2,2,2,2,1,['k'],['d'],N,N,None,Y,female,19,
0,3,3,4,4,1,['d'],['k'],N,Y,None,N,female,19,
0,4,4,5,5,1,['d'],['k'],N,Y,['d'],N,female,19,
0,5,5,7,7,1,['k'],['k'],Y,N,None,Y,female,19,
0,6,6,5,5,1,['k'],['k'],Y,N,None,Y,female,19,
0,7,7,6,6,1,['d'],['k'],N,N,None,Y,female,19,
0,8,8,3,3,1,['k'],['d'],N,Y,None,N,female,19,
0,9,9,4,4,1,['d'],['d'],Y,N,['space'],N,female,19,
0,10,10,13,13,1,['k'],['k'],Y,Y,['space'],Y,female,19,
0,11,11,13,13,1,['k'],['k'],Y,N,['space'],N,female,19,
0,12,12,7,7,1,['d'],['k'],N,N,['d'],N,female,19,
0,13,13,2,2,1,['k'],['k'],Y,Y,['space'],Y,female,19,
