.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,gender,age,
0,0,0,10,10,1,['d'],['d'],Y,,,,,,
0,1,1,0,0,1,['k'],['d'],N,,,,,,
0,2,2,9,9,1,['k'],['k'],Y,Y,None,N,,,
0,3,3,11,11,1,['k'],['k'],Y,N,['space'],N,,,
0,4,4,2,2,1,['d'],['k'],N,Y,['d'],N,,,
0,5,5,7,7,1,['k'],['k'],Y,N,['space'],N,,,
0,6,6,12,12,1,['d'],['k'],N,N,['space'],N,,,
0,7,7,8,8,1,['k'],['d'],N,Y,None,N,,,
0,8,8,6,6,1,['d'],['k'],N,N,None,Y,,,
0,9,9,3,3,1,['k'],['k'],Y,Y,['space'],Y,,,
0,10,10,9,9,1,['k'],['k'],Y,Y,None,N,,,
0,11,11,1,1,1,['d'],['k'],N,N,None,Y,,,
