.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,0,0,1,None,Timed out,,,,,,,,,,,F,20,
0,1,1,10,10,1,['k'],N,['d'],,,,,,,,,,F,20,
0,2,2,3,3,1,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
0,3,3,4,4,1,['k'],N,['d'],Y,None,N,,,,,,,F,20,
0,4,4,1,1,1,['d'],N,['k'],Y,None,N,,,,,,,F,20,
0,5,5,2,2,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
0,6,6,9,9,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
0,7,7,9,9,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
0,8,8,5,5,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
0,9,9,2,2,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
0,10,10,5,5,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
1,0,11,6,6,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
1,1,12,5,5,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
1,2,13,1,1,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
1,3,14,4,4,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
1,4,15,10,10,1,['k'],N,['d'],Y,None,N,,,,,,,F,20,
1,5,16,0,0,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
1,6,17,2,2,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
1,7,18,6,6,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
1,8,19,2,2,1,['d'],N,['k'],Y,None,N,,,,,,,F,20,
1,9,20,8,8,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
1,10,21,9,9,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
2,0,22,8,8,1,['k'],Y,['k'],Y,['d'],N,,,,,,,F,20,
2,1,23,1,1,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
2,2,24,4,4,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
2,3,25,6,6,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
2,4,26,1,1,1,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
2,5,27,10,10,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
2,6,28,2,2,1,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
2,7,29,10,10,1,['k'],Y,['k'],N,['space'],N,,,,,,,F,20,
2,8,30,8,8,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
2,9,31,8,8,1,['d'],N,['k'],Y,None,N,,,,,,,F,20,
2,10,32,5,5,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
3,0,33,4,4,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
3,1,34,8,8,1,['k'],Y,['k'],N,['space'],N,,,,,,,F,20,
3,2,35,2,2,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
3,3,36,1,1,1,['d'],N,['k'],N,None,Y,,,,,,,F,20,
3,4,37,0,0,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
3,5,38,6,6,1,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
3,6,39,9,9,1,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
3,7,40,4,4,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
3,8,41,4,4,1,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
3,9,42,7,7,1,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
3,10,43,10,10,1,['k'],N,['d'],N,None,Y,,,,,,,F,20,
4,0,44,7,7,1,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
4,1,45,1,1,1,['d'],N,['k'],Y,None,N,,,,,,,F,20,
