.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,3,3,1,['d'],['d'],Y,,,,,,,,,,male,19,
0,1,1,1,1,1,['k'],['k'],Y,,,,,,,,,,male,19,
0,2,2,9,9,1,['d'],['k'],N,N,None,Y,,,,,,,male,19,
0,3,3,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
0,4,4,2,2,1,['k'],['d'],N,N,None,Y,,,,,,,male,19,
0,5,5,5,5,1,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
0,6,6,5,5,1,['k'],['k'],Y,Y,None,N,,,,,,,male,19,
0,7,7,7,7,1,['d'],['k'],N,Y,None,N,,,,,,,male,19,
0,8,8,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,male,19,
0,9,9,8,8,1,['k'],['k'],Y,Y,None,N,,,,,,,male,19,
0,10,10,4,4,1,['k'],['d'],N,Y,None,N,,,,,,,male,19,
1,0,11,9,9,1,['k'],['k'],Y,Y,None,N,,,,,,,male,19,
1,1,12,9,9,1,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
1,2,13,10,10,1,['d'],['k'],N,N,None,Y,,,,,,,male,19,
1,3,14,1,1,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
1,4,15,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
1,5,16,10,10,1,['k'],['k'],Y,Y,None,N,,,,,,,male,19,
1,6,17,10,10,1,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
1,7,18,5,5,1,['k'],['d'],N,N,None,Y,,,,,,,male,19,
1,8,19,3,3,1,['d'],['k'],N,Y,None,N,,,,,,,male,19,
1,9,20,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
1,10,21,4,4,1,['d'],['k'],N,Y,None,N,,,,,,,male,19,
2,0,22,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,male,19,
2,1,23,7,7,1,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
2,2,24,6,6,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
2,3,25,6,6,1,['k'],['k'],Y,Y,None,N,,,,,,,male,19,
2,4,26,1,1,1,['k'],['d'],N,Y,None,N,,,,,,,male,19,
2,5,27,0,0,1,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
2,6,28,3,3,1,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
2,7,29,5,5,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
2,8,30,3,3,1,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
2,9,31,5,5,1,['d'],['k'],N,N,None,Y,,,,,,,male,19,
2,10,32,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
3,0,33,0,0,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
3,1,34,5,5,1,['k'],['d'],N,N,None,Y,,,,,,,male,19,
3,2,35,2,2,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,male,19,
3,3,36,9,9,1,['d'],['k'],N,Y,None,N,,,,,,,male,19,
3,4,37,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
3,5,38,3,3,1,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
3,6,39,6,6,1,['d'],['k'],N,N,None,Y,,,,,,,male,19,
3,7,40,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,male,19,
3,8,41,3,3,1,['k'],['d'],N,N,None,Y,,,,,,,male,19,
3,9,42,9,9,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,male,19,
3,10,43,8,8,1,['k'],['d'],N,N,None,Y,,,,,,,male,19,
4,0,44,4,4,1,['d'],['k'],N,N,None,Y,,,,,,,male,19,
4,1,45,0,0,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
4,2,46,7,7,1,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
4,3,47,4,4,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,male,19,
4,4,48,5,5,1,['d'],['k'],N,Y,['space'],Y,,,,,,,male,19,
4,5,49,1,1,1,['k'],['d'],N,N,None,Y,29,29,23,,,,male,19,
4,6,50,1,1,2,['d'],['d'],Y,,,,,,,,,,male,19,
4,7,51,2,2,2,['k'],['d'],N,,,,,,,,,,male,19,
4,8,52,10,10,2,['k'],['d'],N,Y,['space'],Y,,,,,,,male,19,
4,9,53,8,8,2,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
4,10,54,5,5,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
5,0,55,2,2,2,['d'],['k'],N,Y,None,N,,,,,,,male,19,
5,1,56,10,10,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
5,2,57,9,9,2,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
5,3,58,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
5,4,59,9,9,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
5,5,60,0,0,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
5,6,61,8,8,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
5,7,62,4,4,2,['k'],['k'],Y,Y,None,N,,,,,,,male,19,
5,8,63,1,1,2,['k'],['d'],N,N,None,Y,,,,,,,male,19,
5,9,64,1,1,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
5,10,65,6,6,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
6,0,66,9,9,2,['d'],['k'],N,N,None,Y,,,,,,,male,19,
6,1,67,4,4,2,['k'],['d'],N,Y,['space'],Y,,,,,,,male,19,
6,2,68,5,5,2,['k'],['d'],N,N,None,Y,,,,,,,male,19,
6,3,69,7,7,2,['d'],['k'],N,N,None,Y,,,,,,,male,19,
6,4,70,2,2,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
6,5,71,4,4,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
6,6,72,0,0,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
6,7,73,8,8,2,['k'],['d'],N,N,None,Y,,,,,,,male,19,
6,8,74,6,6,2,['d'],['d'],Y,Y,['space'],Y,,,,,,,male,19,
6,9,75,6,6,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
6,10,76,2,2,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
7,0,77,6,6,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,male,19,
7,1,78,1,1,2,['k'],['d'],N,N,None,Y,,,,,,,male,19,
7,2,79,6,6,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
7,3,80,5,5,2,['k'],['d'],N,Y,['space'],Y,,,,,,,male,19,
7,4,81,9,9,2,['d'],['k'],N,N,None,Y,,,,,,,male,19,
7,5,82,1,1,2,['d'],['k'],N,Y,['space'],Y,,,,,,,male,19,
7,6,83,1,1,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
7,7,84,7,7,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
7,8,85,4,4,2,['k'],['d'],N,Y,['space'],Y,,,,,,,male,19,
7,9,86,6,6,2,['k'],['d'],N,N,None,Y,,,,,,,male,19,
7,10,87,3,3,2,['d'],['d'],Y,Y,None,N,,,,,,,male,19,
8,0,88,4,4,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,male,19,
8,1,89,7,7,2,['d'],['k'],N,N,None,Y,,,,,,,male,19,
8,2,90,4,4,2,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
8,3,91,8,8,2,['d'],['k'],N,N,None,Y,,,,,,,male,19,
8,4,92,0,0,2,['k'],['d'],N,Y,['space'],Y,,,,,,,male,19,
8,5,93,5,5,2,['k'],['d'],N,N,None,Y,,,,,,,male,19,
8,6,94,5,5,2,['d'],['d'],Y,N,['space'],N,,,,,,,male,19,
8,7,95,2,2,2,['k'],['k'],Y,Y,['space'],Y,,,,,,,male,19,
8,8,96,6,6,2,['d'],['k'],N,Y,['space'],Y,,,,,,,male,19,
8,9,97,2,2,2,['d'],['d'],Y,N,None,Y,,,,,,,male,19,
8,10,98,6,6,2,['d'],['k'],N,Y,['space'],Y,,,,,,,male,19,
9,0,99,0,0,2,['k'],['d'],N,Y,['space'],Y,28,42,18,,,,male,19,
9,1,100,5,5,3,['k'],['k'],Y,,,,,,,,,,male,19,
9,2,101,9,9,3,['d'],['d'],Y,,,,,,,,,,male,19,
9,3,102,7,7,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,male,19,
9,4,103,4,4,3,['d'],['k'],N,N,None,Y,,,,,,,male,19,
9,5,104,4,4,3,['k'],['d'],N,Y,['space'],Y,,,,,,,male,19,
9,6,105,1,1,3,['k'],['k'],Y,N,None,Y,,,,,,,male,19,
